ID number,Author last name,Variable name,Strategy name,Coded Value,Textual Evidence,Rationale
42,Anarella,strat_19,Build a coalition,1,"A 3-way collaboration between the DOH, select managed care plans serving the Medicaid population, and community-based provider sites was proposed by the DOH.","The project established a partnership between the Department of Health, managed care plans, and provider sites to conduct the improvement work."
42,Anarella,strat_20,Capture and share local knowledge,1,"Data were collected across a suite of 19 performance measures at regular intervals and shared via the IHI Extranet, a secure web-based platform where EDAC participants submitted data, shared resources, and assessed progress toward achieving stated goals.","A secure web-based platform was used for participants to share data and resources, facilitating the sharing of local knowledge."
42,Anarella,strat_21,Conduct local consensus discussions,1,Health plans were notified that project activities would target New York City and were invited to attend a “kick-off” meeting to discuss their current asthma quality improvement activities and review borough-level quality measurement data.,"A kick-off meeting was held with health plans to discuss the project and review data, which served to build consensus and motivate participation."
42,Anarella,strat_23,Develop and/or leveraging academic partnerships,1,"Provider sites included 2 Federally Qualified Health Centers, 3 university-affiliated hospital outpatient primary care clinics, and 2 university-affiliated hospital outpatient specialty care clinics.",The project partnered with university-affiliated hospital clinics as provider sites for the intervention.
42,Anarella,strat_24,Identify and prepare champions,1,Project progress also was impacted by the inability of several participating teams to identify champions at both provider sites and plans.,"The project identified the need for champions at provider sites and plans to guide implementation, although finding them was noted as a challenge."
42,Anarella,strat_27,Involve executive boards,1,"The EDAC Leadership Team refined the focus of the Collaborative, then engaged the EDAC Workgroup, beginning with executive and quality improvement representatives from each of the aforementioned 6 plans.",The project involved executive representatives from the managed care plans and provider sites in the workgroup and leadership teams.
42,Anarella,strat_29,Obtain formal commitments,1,"A Collaborative charter was developed and distributed. The charter outlined the participants, the population of focus, and the overall aim of the Collaborative (including performance measure definitions), and summarized the roles and commitment of each partnering entity.","A collaborative charter was created and distributed to outline participant roles, aims, and the commitment of each partnering entity."
42,Anarella,strat_30,Organize clinician implementation team meetings,1,"During action periods (ie, time between learning sessions) plans and provider sites worked together to plan, test, and implement asthma care improvements such as the development of asthma registries, the sharing of population of focus-level hospitalization and pharmacy data by plans with practices, and plans’ facilitation of on-site team meetings to discuss improvement efforts.",The project organized on-site meetings for the plan-practice improvement teams to discuss their quality improvement efforts.
42,Anarella,strat_32,"Recruit, designate and train for leadership",1,"The DOH Asthma Control Program, the Medicaid Program, and a contracted improvement consultant, collectively known as the Eliminating Disparities in Asthma Care (EDAC) Leadership Team, conducted a detailed analysis to identify areas of New York City where a relatively small award of funding could have the most impact.","A specific leadership team, the EDAC Leadership Team, was designated to oversee and guide the project."
42,Anarella,strat_33,Use advisory boards and workgroups,1,"The EDAC Leadership Team refined the focus of the Collaborative, then engaged the EDAC Workgroup, beginning with executive and quality improvement representatives from each of the aforementioned 6 plans.","The project established and engaged an EDAC Workgroup, composed of representatives from the participating plans, to help guide the work."
42,Anarella,strat_35,Use an implementation advisor,1,"The DOH Asthma Control Program, the Medicaid Program, and a contracted improvement consultant, collectively known as the Eliminating Disparities in Asthma Care (EDAC) Leadership Team...",The project leadership team included a contracted improvement consultant who also provided quality improvement experts and served as an advisor.
42,Anarella,strat_36,Conduct educational meetings,1,The EDAC Leadership Team sponsored 5 learning sessions. Learning sessions were full-day courses held in person at Brooklyn locations and were attended by representatives from each of the partnering plans and provider sites.,"The project sponsored five full-day learning sessions for partnering plans and provider sites, which aligns with the definition of conducting educational meetings."
42,Anarella,strat_37,Conduct educational outreach visits,1,"To improve health care providers’ knowledge and skills around implementing guideline-concordant asthma care, classroom, on-site, and virtual clinical training was offered and implemented by practice staff and consultants to the project leadership team.","The project provided on-site clinical training at provider locations, which constitutes an educational outreach visit."
42,Anarella,strat_38,Conduct ongoing training,1,"To improve health care providers’ knowledge and skills around implementing guideline-concordant asthma care, classroom, on-site, and virtual clinical training was offered and implemented by practice staff and consultants to the project leadership team.","The project offered multiple forms of training, including classroom, on-site, and virtual sessions, over the course of the implementation period, which constitutes ongoing training."
42,Anarella,strat_39,Create a learning collaborative,1,The Institute for Healthcare Improvement (IHI) Model for Improvement’s Breakthrough Series methodology was adapted for this project.,"The project explicitly identifies itself as a collaborative and adapted the Institute for Healthcare Improvement's Breakthrough Series methodology, a well-known learning collaborative model."
42,Anarella,strat_40,Develop educational materials,1,"A Collaborative charter was developed and distributed. The charter outlined the participants, the population of focus, and the overall aim of the Collaborative (including performance measure definitions), and summarized the roles and commitment of each partnering entity.","A collaborative charter was developed to outline project aims, roles, and commitments for participants, serving as an educational material for the project."
42,Anarella,strat_41,Distribute educational materials,1,A Collaborative charter was developed and distributed.,"The project explicitly states that the collaborative charter, an educational document, was distributed to participants."
42,Anarella,strat_42,Make training dynamic,1,"During action periods (ie, time between learning sessions) plans and provider sites worked together to plan, test, and implement asthma care improvements such as the development of asthma registries, the sharing of population of focus-level hospitalization and pharmacy data by plans with practices, and plans’ facilitation of on-site team meetings to discuss improvement efforts.","The project structured its learning collaborative with action periods between learning sessions for participants to test and implement new skills, which makes the training dynamic."
42,Anarella,strat_43,Provide ongoing consultation,1,"In addition, periodic coaches’ calls were conducted by the quality improvement advisor with the plan leads for the project.",The project provided ongoing consultation through periodic coaching calls conducted by a quality improvement advisor with project leads.
42,Anarella,strat_46,Work with educational institutions,1,"Faculty consisted of quality improvement experts contracted through the improvement consultant, physician champions serving Brooklyn and greater New York City, educational institutions providing community-based services in Brooklyn, invited guest speakers, and EDAC Leadership Team members.",The project worked with educational institutions by including them as faculty for the learning sessions to provide training.
42,Anarella,strat_48,Develop resource sharing agreements,1,the sharing of population of focus-level hospitalization and pharmacy data by plans with practices,"This quote describes an agreement between health plans and provider practices to share patient-level data, which is a form of resource sharing."
42,Anarella,strat_49,Faciliate relay of clinical data to providers,1,the sharing of population of focus-level hospitalization and pharmacy data by plans with practices,"This quote indicates that health plans relayed clinical data, such as hospitalization and pharmacy records, to provider practices to support their quality improvement work."
42,Anarella,strat_51,Revise professional roles,1,"Additionally, 5 clinical staff from participating provider sites received financial support for training to prepare for the certified asthma educator exam. This training was instrumental in the success of all 5 becoming credentialed as certified asthma educators.",This quote describes a deliberate effort to expand the roles of clinical staff by supporting their training and credentialing as certified asthma educators to improve asthma care delivery.
42,Anarella,strat_54,Involve patients/consumers and family members,1,"The survey was designed to better understand members’ asthma care practices and beliefs, thereby providing a patient perspective to inform the development of EDAC interventions.","The project team conducted a survey of patients with asthma to obtain their feedback and perspective, which was then used to inform the development of the project's interventions."
42,Anarella,strat_57,Access new funding,1,"The DOH and its research office partner, Health Research Inc., were awarded funding ($150 000 annually for 5 years) under this opportunity.",The project was initiated and supported by a new grant awarded by the Centers for Disease Control and Prevention to reduce disparities in asthma care.
42,Anarella,strat_58,Alter incentive/allowance structures,1,"Seven plans were motivated to participate by the common goals of reducing asthma inpatient hospitalizations, improving asthma quality measure scores (and thereby potentially earning Medicaid-funded financial incentives), and earning credit toward their mandated Performance Improvement Project, a Centers for Medicare & Medicaid Services (CMS) requirement for plans participating in Medicaid.","The project leveraged existing Medicaid-funded financial incentives, which were tied to improving quality measure scores, to motivate health plans to participate in the quality improvement collaborative."
42,Anarella,strat_69,Change record systems,1,Leveraging the capabilities for electronic health record systems to develop asthma registries was an additional support provided.,The project supported the development of asthma registries within electronic health record systems to help provider sites track and manage their patient population.
Unknown,Anderson 45,strat_2,Audit and provide feedback,1,"Services included: patient consultation, comprehensive medication review, provision of medication-related recommendations such as redundant prescriptions to primary care provider at partnering site (i.e., community pharmacist or prescriber), and an individualized patient summary letter after every consultation.",The academic pharmacist conducted a comprehensive medication review (audit) and provided specific recommendations (feedback) to the local primary care providers to guide clinical practice.
Unknown,Anderson 45,strat_4,Conduct local needs assessment,1,"Care gaps were recorded for individuals who qualiﬁed but lacked a within-drug class prescription per clinical guidelines (Amsterdam et al., 2014; American Diabetes Association, 2014; O'Gara et al., 2013; Stone et al., 2013; Yancy et al., 2013).","The project conducted an assessment of care gaps by recording instances where patients lacked guideline-recommended prescriptions, which constitutes an assessment of the distance from evidence-based care."
Unknown,Anderson 45,strat_5,Develop a formal implementation blueprint,1,"The academic-based MTM pharmacist provided comprehensive telephonic services that met the core elements outlined by the American Pharmacists Association’s 2008 MTM Model (Burns, 2008) to each participant.","The implementation was explicitly guided by a formal, published service model, which served as the implementation blueprint."
Unknown,Anderson 45,strat_11,Centralize technical assistance,1,"The community partner sites provided staﬀ(e.g., medical assistants, pharmacists, or prescribers) to interact with participants. They assisted the academic MTM pharmacist by: collecting clinical values (e.g., A1C); reviewing and discussing the pharmacist’s recommendations; performing medication reconciliation in conjunction with the pharmacist; and ensuring patient understanding.","A central, university-based MTM provider delivered expert MTM services and recommendations to staff at five local community sites to guide the implementation of the clinical innovation."
Unknown,Anderson 45,strat_17,Use data experts,1,EJA performed the analyses.,The author contribution statement explicitly identifies a team member whose role was to perform the statistical analyses for the project evaluation.
Unknown,Anderson 45,strat_18,Use data warehousing techniques,1,"Multiple sources (e.g., chart review, pharmacist consultations) were used to capture data for the patient consultation. Data included: demographics, primary/secondary morbidities, relevant clinical/laboratory data to diagnoses and disease control.","The study team collected and combined data from multiple sources, including patient charts and pharmacist consultations, to create a dataset for evaluating the intervention's impact."
Unknown,Anderson 45,strat_19,Build a coalition,1,"The community partner sites provided staﬀ(e.g., medical assistants, pharmacists, or prescribers) to interact with participants. They assisted the academic MTM pharmacist by: collecting clinical values (e.g., A1C); reviewing and discussing the pharmacist’s recommendations; performing medication reconciliation in conjunction with the pharmacist; and ensuring patient understanding.",The text describes a partnership between an academic center and community sites where roles and responsibilities for delivering the MTM service were clearly divided.
Unknown,Anderson 45,strat_23,Develop and/or leveraging academic partnerships,1,"To address this gap in rural healthcare services, a novel, collaborative approach was developed between an academic-based MTM program and community-based providers (e.g., physicians, community pharmacists).",The study explicitly describes the development and implementation of a partnership between an academic-based MTM program and community-based healthcare providers.
Unknown,Anderson 45,strat_35,Use an implementation advisor,1,Five community health sites collaborated with a university-based MTM provider to deliver services in Arizona (2012–16).,"The community health sites collaborated with a university-based provider, which served as an external expert resource for delivering medication therapy management services."
Unknown,Anderson 45,strat_40,Develop educational materials,1,an individualized patient summary letter after every consultation.,"The program developed individualized patient summary letters, which are educational materials created to distill information from the consultation for patients."
Unknown,Anderson 45,strat_41,Distribute educational materials,1,an individualized patient summary letter after every consultation.,The program distributed an individualized summary letter to each patient participant following every consultation.
Unknown,Anderson 45,strat_43,Provide ongoing consultation,1,"Services included: patient consultation, comprehensive medication review, provision of medication-related recommendations such as redundant prescriptions to primary care provider at partnering site (i.e., community pharmacist or prescriber), and an individualized patient summary letter after every consultation.","The academic-based MTM pharmacist provided ongoing, tailored consultation to community providers by giving medication-related recommendations on specific patient cases."
Unknown,Anderson 45,strat_46,Work with educational institutions,1,"Medication therapy management (MTM) services, including targeted, pharmacist-delivered, tertiary prevention interventions, were provided to rural patients with chronic diseases via an academic-community partnership.","The project was a partnership between community health sites and a university-based MTM provider, leveraging the expertise of an educational institution to deliver the intervention."
Unknown,Anderson 45,strat_48,Develop resource sharing agreements,1,Five community health sites collaborated with a university-based MTM provider to deliver services in Arizona (2012–16).,"The academic-community partnership involved collaboration between a university MTM provider and five community health sites to deliver services, which inherently requires resource sharing agreements for personnel and patient data."
Unknown,Anderson 45,strat_50,Remind clinicans,1,"provision of medication-related recommendations such as redundant prescriptions to primary care provider at partnering site (i.e., community pharmacist or prescriber)","The academic MTM pharmacist provided specific, encounter-based medication-related recommendations to the primary care providers at partner sites, which serves as a reminder to clinicians about care gaps or needed medication changes."
Unknown,Anderson 45,strat_51,Revise professional roles,1,"The community partner sites provided staﬀ(e.g., medical assistants, pharmacists, or prescribers) to interact with participants. They assisted the academic MTM pharmacist by: collecting clinical values (e.g., A1C); reviewing and discussing the pharmacist’s recommendations; performing medication reconciliation in conjunction with the pharmacist; and ensuring patient understanding.","The roles of community partner staff, including medical assistants and pharmacists, were revised and expanded to assist the academic MTM pharmacist by collecting clinical data and actioning recommendations, thereby facilitating the new MTM service."
Unknown,Anderson 45,strat_53,Intervene with patients/consumers to enhance uptake and adherence,1,"The community partner sites provided staﬀ(e.g., medical assistants, pharmacists, or prescribers) to interact with participants. They assisted the academic MTM pharmacist by: collecting clinical values (e.g., A1C); reviewing and discussing the pharmacist’s recommendations; performing medication reconciliation in conjunction with the pharmacist; and ensuring patient understanding.","This strategy was coded as present because community partner staff actively worked with patients to ensure their understanding of the treatment recommendations, which aligns with the definition's component of collecting feedback on patient understanding and use of the treatment."
Unknown,Anderson 45,strat_57,Access new funding,1,"This work was supported by the Grant or Cooperative Agreement Number, DP004793, funded by the Centers for Disease Control and Prevention. Its contents are solely the responsibility of the authors and do not necessarily represent the oﬃcial views of the Centers for Disease Control and Prevention or the Department of Health and Human Services. This work also was supported, in part, by SinfoníaRx.",The study was explicitly supported by a grant from the Centers for Disease Control and Prevention and funding from a private company to deliver the clinical innovation.
Unknown,Anderson 45,strat_70,Change service sites,1,"The academic-based MTM pharmacist provided comprehensive telephonic services that met the core elements outlined by the American Pharmacists Association’s 2008 MTM Model (Burns, 2008) to each participant.","The intervention used telephonic consultations to deliver MTM services from an academic center to patients in rural community settings, which constitutes a change in the service site via telemedicine."
60,Arnold,strat_4,Conduct local needs assessment,1,"Specifically, items assessed patients’ CRC cancer screening knowledge, beliefs, self-efficacy, barriers as well as recommendation and education given for CRC screening.","A pre-survey was administered to patients at enrollment to assess baseline knowledge, beliefs, and barriers, which constitutes a local needs assessment to understand gaps in care."
60,Arnold,strat_12,Facilitation,1,"The nurses used motivational interviewing techniques to identify and problem-solve barriers and motivate patients to complete FOBTs. To promote comprehension and confidence, the nurses often showed patients how to complete the FOBTs and called within a week to ask if they had questions and, if necessary, to review the instructions. If patients did not return their FOBT, the nurses followed up by phone within two weeks and again in one month.",The nurse support arm describes an interactive support process where nurses bundled multiple strategies to help patients overcome barriers and complete the screening.
60,Arnold,strat_16,Tailor strategies,1,The nurses used motivational interviewing techniques to identify and problem-solve barriers and motivate patients to complete FOBTs.,"The intervention strategy was tailored to individual patient needs, as nurses used motivational interviewing to identify and address specific barriers to screening completion."
60,Arnold,strat_20,Capture and share local knowledge,1,"a short video developed by the authors that captured FQHC patients discussing barriers and facilitators to screening, and a physician making a recommendation while showing key steps in FOBT completion.",The intervention used a video featuring local patients discussing their experiences with screening to educate other patients.
60,Arnold,strat_23,Develop and/or leveraging academic partnerships,1,Three Federally Qualified Health Centers (FQHCs) participated in this study.,"The study, led by authors from Louisiana State University Health Sciences Center and Northwestern University, was conducted in partnership with community-based Federally Qualified Health Centers."
60,Arnold,strat_35,Use an implementation advisor,1,"Arnold CL1*, Rademaker A2, Liu D2 and Davis TC1 1Department of Medicine, Louisiana State University Health Sciences Center, Shreveport, LA, USA 2Department of Preventive Medicine and the Robert H. Lurie Comprehensive Cancer Center, Northwestern University, Chicago, IL, USA","University-affiliated faculty members from two institutions designed and led the study, serving as outside experts guiding the implementation of the health literacy intervention."
60,Arnold,strat_40,Develop educational materials,1,"At enrollment, in addition to enhanced usual care the clinic RA gave patients a brief health literacy-informed educational intervention that included simplified written FOBT instructions and a colorful, illustrated CRC pamphlet written on a 5th grade level that provided actionable information organized from a patient’s perspective as well as a short video developed by the authors that captured FQHC patients discussing barriers and facilitators to screening, and a physician making a recommendation while showing key steps in FOBT completion.","The study developed multiple educational materials, including simplified instructions, a pamphlet, and a video, specifically for the patient intervention."
60,Arnold,strat_41,Distribute educational materials,1,"At enrollment, in addition to enhanced usual care the clinic RA gave patients a brief health literacy-informed educational intervention that included simplified written FOBT instructions and a colorful, illustrated CRC pamphlet written on a 5th grade level that provided actionable information organized from a patient’s perspective as well as a short video developed by the authors...","The study distributed newly developed educational materials, including simplified instructions, a pamphlet, and a video, to patients in the intervention arms."
60,Arnold,strat_42,Make training dynamic,1,The education also included the RA giving a concrete demonstration of FOBT instructions. The RA employed health literacy techniques such as ‘teach back’ to confirm the accuracy and completeness of patients’ understanding.,The patient education was made dynamic and interactive through the use of a concrete demonstration and the 'teach back' technique.
60,Arnold,strat_51,Revise professional roles,1,"Nurse support arm: At enrollment, the nurse manager provided the same materials and FOBT instructions as those in the education arm prior to patient’s physician visit. The nurses used motivational interviewing techniques to identify and problem-solve barriers and motivate patients to complete FOBTs. To promote comprehension and confidence, the nurses often showed patients how to complete the FOBTs and called within a week to ask if they had questions and, if necessary, to review the instructions. If patients did not return their FOBT, the nurses followed up by phone within two weeks and again in one month.","This quote describes a deliberate expansion of the nurse's role to include motivational interviewing, barrier problem-solving, patient education, and proactive follow-up to support the implementation of the CRC screening intervention."
60,Arnold,strat_52,Increase demand,1,"an educational strategy, where patients were given enhanced usual care plus brief education that included pamphlet, video and simplified FOBT instructions","The intervention educated patients about colorectal cancer screening using materials like pamphlets and videos to increase their knowledge and subsequent screening behavior, which aligns with educating patients to increase demand."
60,Arnold,strat_53,Intervene with patients/consumers to enhance uptake and adherence,1,"If patients did not return their FOBT, the nurses followed up by phone within two weeks and again in one month.","The nurse support arm included follow-up phone calls to patients who had not returned their screening kit, which serves as a reminder to enhance adherence."
60,Arnold,strat_55,Prepare patients/consumers to be active participants,1,"the clinic-based RA gave patients a recommendation to complete CRC screening, the FOBT kit, and a suggestion to talk with their primary care provider about screening during their visit that day.","Patients were explicitly encouraged to discuss colorectal cancer screening with their provider, which prepares them to be active participants in their healthcare decisions."
60,Arnold,strat_57,Access new funding,1,This study was funded by the National Cancer Institute (R01 CA115869) and supported in part by 1 U54 GM104940 from the National Institute of General Medical Sciences of the National Institutes of Health which funds the Louisiana Clinical and Translational Science Center.,"The study, which delivered the implementation interventions, was explicitly funded by grants from national health institutes."
63,Arredondo,strat_4,Conduct local needs assessment,1,"The JUNTOS intervention workshop was developed based on formative research using a needs assessment, literature review, focus groups with community members, and key informant interviews with FQHC staff.","The intervention was developed based on formative research that included a needs assessment, focus groups, and key informant interviews to understand local needs and context."
63,Arredondo,strat_5,Develop a formal implementation blueprint,1,"The intervention used theory-driven, multilevel approaches to consider the context in which Latinos live. Accordingly, the social-ecological framework guided the JUNTOS program as it recognizes that multiple levels of influence affect behaviors.","The study developed a structured intervention guided by the social-ecological framework, which serves as a formal implementation blueprint."
63,Arredondo,strat_8,Obtain and use patient/consumer and family feedback,1,"Two aspects of acceptability of intervention content were measured with questions in the postworkshop survey: satisfaction, with the open-ended question “What suggestion do you have for us to improve the workshop?”",The study collected and analyzed feedback from participants via an open-ended question in a post-workshop survey to assess satisfaction and gather suggestions for improvement.
63,Arredondo,strat_13,Provide clinical supervision,1,They completed an 80-hour training conducted by the research team’s outreach coordinator who evaluated their performance and supervised the promotores.,The research team's outreach coordinator actively supervised the promotores delivering the intervention and evaluated their performance.
63,Arredondo,strat_16,Tailor strategies,1,"All workshop materials were culturally tailored for the target Latino population, with Spanish and English versions that used vocabulary appropriate for low literacy levels.","The intervention materials were deliberately adapted for the target population's culture, language, and literacy level based on formative research and community feedback."
63,Arredondo,strat_18,Use data warehousing techniques,1,Direct review of the partnering FQHC’s electronic health records (EHRs) validated self-report of screening completion.,The study used existing data from electronic health records to obtain and validate the primary outcome measure of screening completion.
63,Arredondo,strat_19,Build a coalition,1,"A community advisory board, which included members from community organizations, health organizations, the American Cancer Society, and the Office of Binational Border Health within the California Department of Public Health, provided feedback on the workshop materials.","The study formed a community advisory board with members from multiple community and health organizations to provide feedback on the intervention, demonstrating a partnership with defined roles."
63,Arredondo,strat_21,Conduct local consensus discussions,1,"The JUNTOS intervention workshop was developed based on formative research using a needs assessment, literature review, focus groups with community members, and key informant interviews with FQHC staff.","The intervention was developed using formative research that included focus groups with community members and interviews with FQHC staff, indicating local consensus discussions were held to inform the program."
63,Arredondo,strat_23,Develop and/or leveraging academic partnerships,1,"Juntos Contra el Cáncer/Together Against Cancer (JUNTOS) was a 3-year study (1 year of development, 2 years of implementation and evaluation) in collaboration with an FQHC serving a predominantly Latino neighborhood in San Diego, California.",The study was a collaboration between academic researchers from San Diego State University and the University of California San Diego and a federally qualified health center.
