ID number,Author last name,Variable name,Strategy name,Coded Value,"Kirsten, Dena, Allison checking ",Textual Evidence,Rationale
4647,Samuel-Hodge,strat_11,Centralize technical assistance,1,,Research team coaches implementation team on Med South delivery and implementation during monthly technical assistance phone calls,"The research team acts as a centralized entity providing regular coaching and support on implementation issues to the local sites via phone calls, which directly aligns with the definition of centralizing technical assistance."
3994,Ghosh,strat_12,Facilitation,1,,"To organize and run the evening/weekend CCS-only sessions, an operations team was created. The team consisted of the CCS project lead, the OB/ Gyn clinical leader, operations managers from OB/Gyn and FM, and the OB/Gyn clinical supervisor. Weekly meetings were held from April 2 to July 23, 2021.","This describes an internal team, including a project lead, engaging in interactive problem-solving and support through weekly meetings to organize and implement the new screening clinics, which is characteristic of facilitation."
4069,Glasser,strat_12,Facilitation,1,,"Our primary aim was to address these barriers to care and inequity in access to CRC screening, using a combined model of practice facilitation and patient navigation as a targeted intervention.","The paper explicitly identifies practice facilitation as a core component of its intervention, defining it as a strategy to improve primary healthcare processes and build internal capacity for quality improvement."
3974,Shareef,strat_12,Facilitation,1,,"A patient navigator followed up with participants with an abnormal FIT result. The patient navigator was provided with a weekly list of individuals with an abnormal FIT and asked to use a checklist to ensure completion of key steps in the follow-up process, and to implement specific interventions for any incomplete steps (Table 1).","The patient navigator's role, which involves following up with patients, identifying and addressing barriers, providing reminders, and communicating with providers, is a clear example of interactive problem-solving and support to improve the colonoscopy follow-up process, fitting the definition of facilitation."
4684,Thakur,strat_12,Facilitation,1,,"in follow-up visits, pharmacists downloaded and reviewed the glucose data and adjusted patients’ medications.","The pharmacists engaged in interactive problem-solving and support by reviewing patient-specific data and making medication adjustments, which is a core component of facilitation."
3528,Kim,strat_13,Provide clinical supervision,1,,"The health care teamlet met in a huddle every week to discuss RPM data, treatment goals and current status, and adjustments to care plans.","The local health care teamlet, including a provider and health coach, met weekly for ongoing supervision focused on using the remote patient monitoring data to manage patient care plans."
4069,Glasser,strat_14,Provide local technical assistance,1,,"In an effort to address barriers to care and health system inequities, a full-time patient navigator was hired by Roswell and embedded in the JRCHC to provide both provider and patient education, develop culturally tailored patient education materials (visual), schedule/coordinate services (transportation, interpreters, obtaining prep solution for colonoscopy), and distribute stool-based tests using FIT for those deferring or ineligible for colonoscopy as a screening option.",The intervention used a patient navigator embedded locally within the clinic to provide direct technical assistance to providers and patients on the implementation of CRC screening guidelines.
3528,Kim,strat_14,Provide local technical assistance,1,,A clinic digital navigator assisted patients with technology setup and use either in the clinic or by phone.,"The intervention used local clinic staff, designated as digital navigators, to provide technical assistance to patients on how to set up and use the remote monitoring technology."
4503,McCann,strat_14,Provide local technical assistance,1,,The project leader created tip sheets on how to link external documentation in a way that will count toward UDS measures.,"This quote shows that a local project leader developed and provided educational materials to assist staff with the technical aspects of the new workflow, which is a form of local technical assistance."
4684,Thakur,strat_14,Provide local technical assistance,1,,"During enrollment and subsequent visits, pharmacists were responsible for the application and removal of CGM sensors. They also provided patient education and instructions on how to use CGM devices.",Local personnel (pharmacists) provided technical assistance focused on the implementation of the CGM innovation by educating patients on device use and managing the sensors.
4519,EspinozaSalomon,strat_15,Promote adaptability,1,,"In the original protocol, only one parent was to receive a personal activity tracker. Within the first 2 cycles, it became clear that for families with 2 parents participating in BodyWorks, determining which parent received the PAT was sometimes a source of conflict. Therefore, we decided to allow both parents to have a PAT if they were both interested in using one.",The study team adapted the intervention protocol by changing who received a personal activity tracker to better meet the needs of participating families and resolve a conflict that arose during implementation.
4746,Llavona-Ortiz,strat_15,Promote adaptability,1,,"First, the intervention was developed using a systematic framework grounded in evidence-based strategies, and was culturally adapted to address the unique needs and barriers faced by the Puerto Rican population.","The study explicitly states that the intervention was culturally adapted based on formative research to address the specific needs and barriers of the local population, which is the core of promoting adaptability."
3987,Nuno,strat_15,Promote adaptability,1,,The changes made to the US version of MSD included weights in ounces and pounds and heights in inches and feet. All other topics and the intervention structure remained the same.,"This quote shows the intervention was adapted for the local context by changing measurement units, while explicitly stating that the core components of the intervention were maintained to preserve fidelity."
4647,Samuel-Hodge,strat_15,Promote adaptability,1,,"The recommended dietary pattern is a Mediterranean dietary pattern adapted for the southeastern US food culture, with a focus on aﬀordable and familiar foods such as peanuts or peanut butter, vegetable oils, and modiﬁed recipes for traditional southern foods such as hush puppies, collard greens, and barbeque.",This quote shows the clinical innovation (the Med-South diet) was deliberately adapted to meet local needs by incorporating familiar and culturally relevant foods from the southeastern US.
4811,Bowen,strat_16,Tailor strategies,1,"No.  This was not in reference to the intervention, rather it was one of the measures ","Considering that just 21.2% of residents aged 25 and over possess a bachelor's degree, the questions were developed at a minimum level of complexity, 6th grade, 10,29 as indicated by the Flesch-Kincaid grade level score provided by Microsoft © readability statistics.",The implementation team tailored the survey instruments to address the identified local barrier of low education levels in the participant population.
4519,EspinozaSalomon,strat_16,Tailor strategies,1,,"One participant asked, “We look at my Fitbit every week, why do I have to fill this out?” After 2 cycles, the study team decided to no longer collect physical activity logs.",The implementation strategy of collecting paper-based activity logs was tailored by removing it after early data collection in the form of participant feedback identified it as a barrier due to redundancy.
3994,Ghosh,strat_16,Tailor strategies,1,,The evening/weekend sessions were done at different times to evaluate optimal timing and staffing for possible future permanent CCS clinics.,"The project team deliberately varied the timing of the extra clinic sessions to determine the most effective approach for their local patient population, which is a direct example of tailoring an implementation strategy to fit the local context."
4069,Glasser,strat_16,Tailor strategies,1,,"Throughout the implementation of this intervention, barriers and facilitators were identified, and we adapted the intervention accordingly to meet the needs of this diverse patient population using a continuous QI methodology.","The authors explicitly state that they identified barriers and facilitators during the project and adapted their intervention to meet the specific needs of their patient population, which is the definition of tailoring strategies."
4701,Katz,strat_16,Tailor strategies,1,,"Three focus groups and five interviews were conducted with 19 community members and four groups with 18 healthcare providers (physicians, nurse practitioners). Discussions centered on barriers and facilitators for CRC screening and the content and format for the proposed intervention materials.","The researchers conducted formative work including focus groups and interviews with community members and providers to identify barriers and facilitators, and then used this information to develop the content and format of the intervention materials."
3528,Kim,strat_16,Tailor strategies,1,,The survey was used to tailor the technology package offered to the participant and guide the starting conversations with the health coach.,The study tailored implementation strategies by using an enrollment survey to gather data on technology access and literacy to customize the technology package for each participant.
4520,Radtke,strat_16,Tailor strategies,1,,"The clinic and community partners prioritized bilingual staffing, proactive communication from familiar healthcare practitioners and staff, and consistency in implementation, resulting in high patient engagement in the intervention.","The implementation team tailored its staffing and communication strategies by using bilingual staff to address the known language needs of the target population, which fits the definition of tailoring strategies to the context."
3974,Shareef,strat_16,Tailor strategies,1,,Results of the initial PDSA cycle were assessed through review of quantitative data and interactive dialogues with the patient navigation and care coordination teams and Family Health Centers of San Diego leaders. Between cycles several changes were made to streamline the process and address challenges.,"The study explicitly used a Plan-Do-Study-Act (PDSA) model where data and feedback from the first implementation cycle were used to identify challenges and make specific changes to the intervention for the next cycle, which is the definition of tailoring strategies."
4545,TangkaFKL,strat_16,Tailor strategies,1,,The timeframe and number of text and reminder calls varied over the years as the AltaMed team changed the intensity of this intervention to increase the percentage of tests returned.,"The text describes how the implementation team deliberately modified the timing and frequency of reminder calls and texts over several years in an effort to increase the rate of returned test kits, which fits the definition of tailoring strategies based on ongoing results."
4684,Thakur,strat_16,Tailor strategies,1,,"Follow-up visits were scheduled according to the patient’s HbA1c levels. For patients with HbA1c levels greater than 9%, follow-up visits were recommended every 2 weeks. In contrast, patients with HbA1c levels between 6% and 8% (relatively stable glucose control) were scheduled for follow-up every 3 months.","The implementation team tailored the follow-up strategy by adjusting the frequency of visits based on patients' baseline HbA1c levels, addressing the barrier of poor glycemic control with more intensive support."
4519,EspinozaSalomon,strat_17,Use data experts,1,,Research reported in this publication was supported by the Biostatistics Core of The Saban Research Institute at Children’s Hospital Los Angeles (CHLA) and by grants (UL1TR001855 and UL1TR000130) from the National Center for Advancing Translational Science (NCATS) of the US National Institutes of Health (NIH).,The study team involved data experts from a Biostatistics Core to analyze and interpret the data generated by the implementation effort.
3994,Ghosh,strat_17,Use data experts,1,,"Following their visits, patients placed the completed surveys into a marked box, and the surveys were subsequently sent to the Crossroads Group for data analysis.","The project team engaged an external survey company, the Crossroads Group, as data experts to analyze patient satisfaction survey data collected during the implementation effort."
4069,Glasser,strat_17,Use data experts,1,,K.M.A. analyzed and interpreted the patient data regarding the CRC screening rates over time.,"The study team involved a biostatistician (K.M.A.) from the Department of Biostatistics & Bioinformatics to analyze and interpret the data generated by the implementation effort, which aligns with the definition of using data experts."
4674,HudakKMA,strat_17,Use data experts,1,,Data extractions were created and shared through a Secure File Transfer Protocol site with the evaluation team.,"The project engaged an external evaluation team with data expertise from NORC to analyze program data and assess outcomes, thereby informing stakeholders about the program's effectiveness."
3971,Kruse,strat_17,Use data experts,1,,Mass League provided training with DRVS to support creation of registries and summary data to guide adaptation (Table 1).,"The study involved an external organization, Mass League, which acted as a data expert by providing training to the FQHCs on how to use the DRVS data system to generate and use data for implementation."
4684,Thakur,strat_17,Use data experts,1,,We enumerated the key takeaways from this project with a team-based approach involving key stakeholders in the program including the lead pharmacist and the data analyst.,"The project team involved a data analyst to help interpret the implementation data and generate key takeaways to guide future strategy, which aligns with consulting an expert on the use of data."
4247,Coronado,strat_18,Use data warehousing techniques,1,,The FQHC has near-complete capture of FIT events in the electronic health record (EHR) that is facilitated by a direct electronic interface with the reference laboratory (Quest).,The study integrated clinical records between the FQHC's EHR and an external organization (the reference laboratory) to facilitate the implementation and tracking of the mailed FIT program.
4052,Gautom,strat_18,Use data warehousing techniques,1,,Data on patient demographics and healthcare utilization were extracted from Sea Mar’s EHR (AllScripts and Epic) and entered into the REDCap data collection system.,The study integrated patient data from two different electronic health record systems (AllScripts and Epic) within the FQHC and consolidated it into a central REDCap database hosted by a partner research organization to facilitate the implementation.
4036,McAtee,strat_18,Use data warehousing techniques,1,,"Data submissions were cleaned, and data were combined for patients via their client ID.",The program combined patient data submitted from multiple distinct health care organizations (a federally qualified health center and a hospital organization) using a client ID system to track and analyze outcomes across different sites.
3936,Farley,strat_19,Build a coalition,1,Need to share responsibilities,The Federally Qualified Urban Health Network (FUHN) is an organization of 10 FQHCs located in the Twin Cities and Mankato areas of Minnesota operating under an integrated health partnership serving underserved populations.,"The implementation took place within an established integrated health partnership of multiple FQHCs, which constitutes a coalition of partners for the implementation effort."
4052,Gautom,strat_19,Build a coalition,1,Need to share responsibilities,"PRECISE was conducted as a partnership between the Kaiser Permanente Center for Health Research and Sea Mar Community Health Centers, a large, multi-facility FQHC headquartered in Seattle, Washington.","The text explicitly states the study was conducted as a partnership between a research center and a community health center, which fits the definition of recruiting partners for an implementation effort."
4069,Glasser,strat_19,Build a coalition,1,Need to share responsibilities,"In 2016, Roswell Park Comprehensive Cancer Center (Roswell), an NCI-designated cancer center in downtown Buffalo, partnered with the Jericho Road Community Health Center (JRCHC) to increase CRC screening rates as a quality improvement (QI) intervention.",The project established a formal partnership between a cancer center and an FQHC to cultivate relationships and work together on the implementation effort.
4701,Katz,strat_19,Build a coalition,1,Need to share responsibilities,"The pilot study was conducted in partnership with a federally qualified health center (FQHC) located in Scioto County, Ohio to pilot test the mailed FIT outreach program, called Fit Starts at 45.","The research team recruited and cultivated a relationship with an FQHC partner to collaborate on the implementation effort, with the FQHC taking responsibility for tasks like identifying patients and managing results."
4545,TangkaFKL,strat_19,Build a coalition,1,Correct,"For its own mission and CRCCP‐outlined goals AltaMed has created partnerships with primary care associations, hospitals, and social need providers to improve health equity and increase CRC screening uptake in its patient population.",This quote indicates that the organization deliberately formed relationships with external partners like hospitals and social need providers specifically to support the implementation goal of increasing colorectal cancer screening uptake.
4684,Thakur,strat_19,Build a coalition,1,Correct,"The authors express their gratitude to Abbott for donating the Libre Pro sensors for participants, as well as the Abbott Fund’s ongoing support of digital health programs at the Community-University Health Care Center (CUHCC).","This describes a partnership with an external company, Abbott, which provided essential resources (sensors) and ongoing support for the implementation effort, fitting the definition of building a coalition."
3934,Venishetty,strat_19,Build a coalition,1,COrrect,Most of the program’s work is done through collaborative agreements and collaborations with multiple community organizations and FQHCs.,"This quote describes the recruitment and cultivation of relationships with FQHCs and other community organizations as partners in the implementation effort, which is the core of building a coalition."
3994,Ghosh,strat_2,Audit and provide feedback,1,No.  Should seek to change provider beahviors.  Need to review examples of how coded  ,"The importance of the problem, magnitude of the deficit, and goals of the QI project were presented to all staff during quarterly staff meetings by the Chief Medical Officer.",Performance data regarding the screening deficit was collected and presented to all staff in meetings to provide feedback and motivate changes in practice.
4069,Glasser,strat_2,Audit and provide feedback,1,No.  Should seek to change provider beahviors ,"core members of the team meet quarterly to review the QI reports and continue to enhance the program, identifying any subpopulations needing a different strategy as part of the continuous QI process.","The team reviewed performance data (QI reports) on a regular schedule to provide feedback and guide program enhancements, which is the definition of audit and provide feedback."
3528,Kim,strat_2,Audit and provide feedback,1,No,"The health care teamlet met in a huddle every week to discuss RPM data, treatment goals and current status, and adjustments to care plans.","The project collected patient performance data via remote patient monitoring, summarized it, and provided it to the clinical team in weekly huddles to review and adjust care plans, which is the core definition of audit and feedback."
3971,Kruse,strat_2,Audit and provide feedback,1,No,Mass League provided training with DRVS to support creation of registries and summary data to guide adaptation (Table 1).,"This describes the process of creating summary performance data (registries) and using it to inform changes to the implementation (adaptation), which is the core of audit and feedback."
3974,Shareef,strat_2,Audit and provide feedback,1,Correct,Initiate provider feedback to prompt result review if incomplete,"The patient navigator's role included auditing whether providers had reviewed results and providing feedback to prompt them to complete this step, which directly aligns with the definition of audit and provide feedback."
4202,Coronado,strat_21,Conduct local consensus discussions,1,,"We used boot camp translation (BCT; ref. 27), a validated community engagement process, to develop the content and select the format of advance notiﬁcations and reminders for the enhanced program (25).","The study used a community engagement process called boot camp translation to involve patients in developing the content and format of the intervention materials, which aligns with conducting local consensus discussions to ensure appropriateness."
3994,Ghosh,strat_21,Conduct local consensus discussions,1,,"This data was presented to the EBNHC clinical and administrative leadership in February 2021. A proposal was made to (1) validate the overdue CCS list, (2) create CCS-­only clinics, and (3) improve clinical and electronic CCS workflows. This project was approved by the Project Steering Committee March 2021.","The project team presented data on the problem of overdue screenings to local clinical and administrative leadership, who then discussed and approved the proposed intervention, which fits the definition of conducting local consensus discussions to establish the problem's importance."
4069,Glasser,strat_21,Conduct local consensus discussions,1,,"Using a community-based participatory approach, we collectively designed and developed an intervention to improve the CRC screening rates.","The project involved local stakeholders in collectively designing the intervention, which constitutes a local consensus discussion to ensure the appropriateness of the approach."
4701,Katz,strat_21,Conduct local consensus discussions,1,,"The pilot study followed the development of the program by extensive input from Appalachian community members and healthcare providers practicing in Appalachia Ohio that occurred prior to the start of the COVID-19 pandemic. Three focus groups and five interviews were conducted with 19 community members and four groups with 18 healthcare providers (physicians, nurse practitioners).",The study included local community members and healthcare providers in focus groups and interviews to discuss barriers to screening and the appropriateness of the proposed intervention materials.
4811,Bowen,strat_23,Develop and/or leveraging academic partnerships,1,Correct,"Pamela G. Bowen, PhD, BBA, CRNP, FNP-BC, is an Associate Professor, Ashley Clark, CRNP, DNP, is a Graduate, Tamaria Dunn, CRNP, DNP, is a Graduate, Lakimbrell Marshall, CRNP, DNP, is a Graduate, Anaidra Reese, CRNP, DNP, is a Graduate, and Tedra S. Smith, DNP, CPNP-PC, CNE, CHSE, is an Associate Professor, School of Nursing, University of Alabama at Birmingham, Birmingham, AL.","The quality improvement project was led and administered by associate professors and graduates from the School of Nursing at the University of Alabama at Birmingham, demonstrating a partnership with an academic unit to bring expertise to the implementation effort."
5032,Burgermaster,strat_23,Develop and/or leveraging academic partnerships,1,Correct,This study was approved by the University of Texas at Austin Institutional Review Board no. STUDY00002261 is under an expedited review.,"The study was conducted by university researchers in partnership with a community health center network and required university institutional review board approval, demonstrating a formal academic partnership to bring research skills to the project."
4247,Coronado,strat_23,Develop and/or leveraging academic partnerships,1,,"1Kaiser Permanente Center for Health Research, Portland, Oregon. 2University of Arizona Cancer Center, Tucson, Arizona. 3AltaMed Health Services Corporation, Los Angeles, California.","The study was conducted at an FQHC (AltaMed) in partnership with academic and research centers (Kaiser, University of Arizona) that brought research skills to the implementation project."
3936,Farley,strat_23,Develop and/or leveraging academic partnerships,1,,"Author affiliations College of Pharmacy, University of Minnesota, Minneapolis (Farley and Pradeep); Federally Qualified Urban Health Network, Minneapolis, MN (Pradeep).","The study was conducted and authored by researchers from the University of Minnesota's College of Pharmacy in partnership with the health network, demonstrating an academic partnership bringing research skills to evaluate the project."
4052,Gautom,strat_23,Develop and/or leveraging academic partnerships,1,,"PRECISE was conducted as a partnership between the Kaiser Permanente Center for Health Research and Sea Mar Community Health Centers, a large, multi-facility FQHC headquartered in Seattle, Washington.","The study involved a partnership between a community health center and a dedicated health research center, which brought research skills to the implementation project, fitting the definition of leveraging academic-like partnerships."
4069,Glasser,strat_23,Develop and/or leveraging academic partnerships,1,,"In 2016, Roswell Park Comprehensive Cancer Center (Roswell), an NCI-designated cancer center in downtown Buffalo, partnered with the Jericho Road Community Health Center (JRCHC) to increase CRC screening rates as a quality improvement (QI) intervention.","The FQHC partnered with an NCI-designated cancer center, which is an academic institution, to bring research and clinical skills to the implementation project."
4674,HudakKMA,strat_23,Develop and/or leveraging academic partnerships,1,,The study was performed under funding received by NORC at the University of Chicago from the Food Bank Council of Michigan.,"The program partnered with a research organization, NORC at the University of Chicago, to bring research and evaluation skills to the implementation project."
4701,Katz,strat_23,Develop and/or leveraging academic partnerships,1,,"The pilot study was conducted in partnership with a federally qualified health center (FQHC) located in Scioto County, Ohio to pilot test the mailed FIT outreach program, called Fit Starts at 45.","Researchers from The Ohio State University, an academic institution, partnered with a community FQHC to bring research skills to the implementation project."
4036,McAtee,strat_23,Develop and/or leveraging academic partnerships,1,,The authors also thank the Community Health Worker Association of Rhode Island and Rhode Island College (RIC) Institute for Education in Healthcare for facilitating the Specialty Endorsement in Cardiovascular Health & Diabetes (CVD/DM).,"The program partnered with a college's Institute for Education in Healthcare to facilitate the specialty training for the community health workers, which aligns with leveraging an academic partnership for shared training."
3987,Nuno,strat_23,Develop and/or leveraging academic partnerships,1,,"The University of Arizona (UArizona), in collaboration with El Colegio de Sonora in Hermosillo, Sonora, Mexico, developed the MSD curriculum to decrease CVD and its complications in a Mexican population diagnosed with T2D.","This quote describes a partnership between two academic institutions, the University of Arizona and El Colegio de Sonora, to develop the intervention curriculum for the implementation project."
4647,Samuel-Hodge,strat_23,Develop and/or leveraging academic partnerships,1,,"We recruited and enrolled staﬀfrom CHCs and local HDs, and site staﬀreferred potential participants to University staﬀfor screening, consent and enrollment.","The university research team partnered with public health sites, bringing research skills for screening, consent, and enrollment to the implementation project."
3974,Shareef,strat_23,Develop and/or leveraging academic partnerships,1,,The study was approved by the Institutional Review Board Administration of Family Health Centers of San Diego and University of California San Diego.,"The project was a collaboration between a federally qualified health center and academic institutions, including the University of California San Diego, as evidenced by the joint IRB approval and author affiliations."
4684,Thakur,strat_23,Develop and/or leveraging academic partnerships,1,,Coauthor (AT) time and the secure availability of clinical data for analysis were supported by the Clinical and Translational Science Award.,"This shows the project leveraged resources and research skills from an academic partner, the Clinical and Translational Science Institute, to support data analysis for the implementation project."
3934,Venishetty,strat_23,Develop and/or leveraging academic partnerships,1,,Ethical approval for the study was obtained from the Institutional Review Board of Texas Tech University Health Sciences Center El Paso.,"This quote, along with the academic affiliations of the authors, indicates a formal partnership between community FQHCs and a university to bring research skills to the implementation project."
4068,Yan,strat_23,Develop and/or leveraging academic partnerships,1,,"Patient data was shared by clinics with the University of Chicago as limited datasets and were saved on password protected, secure servers.","The study involves a partnership between the University of Chicago and multiple FQHCs, where the academic partner provides research expertise and data management for the implementation project conducted at the clinical sites."
3974,Shareef,strat_27,Involve executive boards,1,,Results of the initial PDSA cycle were assessed through review of quantitative data and interactive dialogues with the patient navigation and care coordination teams and Family Health Centers of San Diego leaders.,The project team involved organizational leaders in the implementation effort by engaging them in interactive dialogues to assess progress and make changes between PDSA cycles.
4684,Thakur,strat_27,Involve executive boards,1,,"The chief executive officer and the chief innovation & strategy officer, both of whom are advocates for digital technology to address health equity, were an integral part of this collaborative effort.","This shows the involvement of top-level administrative leadership (CEO and Chief Innovation & Strategy Officer) in the implementation effort, which aligns with the strategy of involving governing structures."
3934,Venishetty,strat_27,Involve executive boards,1,,including a letter from the medical director of each recruitment site as the first page of the mailed packet to inform patients about how our program received their information,"This quote shows the involvement of clinical leadership (the medical director) in the implementation effort by using their authority to endorse the program and legitimize it for patients, which aligns with involving leadership with 'top-down' powers."
3528,Kim,strat_29,Obtain formal commitments,1,,A data use agreement was signed by the health center and the ACTIVATE team that allowed for use of a Health Insurance Portability and Accountability Act limited data set for analysis purposes.,"This quote describes a signed data use agreement between the implementation team and the health center, which constitutes a formal written commitment outlining roles and responsibilities for the project."
4036,McAtee,strat_29,Obtain formal commitments,1,,Quarterly data reports were used to account for required contract deliverables.,"The program used contracts with required deliverables, which represents a formal written commitment from partners detailing their responsibilities for data reporting."
3934,Venishetty,strat_29,Obtain formal commitments,1,,Most of the program’s work is done through collaborative agreements and collaborations with multiple community organizations and FQHCs.,"This quote explicitly mentions ""collaborative agreements,"" which are a form of written or formal commitment from key partners (the FQHCs) that state what they will do to support the implementation."
4115,Walker,strat_29,Obtain formal commitments,1,,"Spokes were compensated with a stipend ranging from $2,500 to $10,000 for data acquisition and sharing based on spoke size and data acquisition complexity.","The provision of a stipend to participating clinics for data acquisition and sharing implies a formal agreement outlining roles, responsibilities, and tangible benefits for their participation in the implementation effort."
4069,Glasser,strat_3,Conduct cyclical small tests of change,1,,"Throughout the implementation of this intervention, barriers and facilitators were identified, and we adapted the intervention accordingly to meet the needs of this diverse patient population using a continuous QI methodology. This included the development of visual aids for patient education in the early stages of the intervention...","The team used a continuous quality improvement methodology to identify a need and test a change by developing and implementing visual aids, which represents a cyclical small test of change."
4684,Thakur,strat_3,Conduct cyclical small tests of change,1,,We assessed the CGM program and noted key aspects to guide future implementation and scalability.,"The paper describes a pilot implementation project, which is a small test of change, and explicitly states that they assessed the program to guide future implementation and scalability, which aligns with the cyclical nature of this strategy."
4069,Glasser,strat_30,Organize clinician implementation team meetings,1,,"Additionally, core members of the team meet quarterly to review the QI reports and continue to enhance the program, identifying any subpopulations needing a different strategy as part of the continuous QI process.",The project organized regular meetings for the core implementation team to review progress reports and reflect on the implementation effort.
3528,Kim,strat_30,Organize clinician implementation team meetings,1,,"The health care teamlet met in a huddle every week to discuss RPM data, treatment goals and current status, and adjustments to care plans.","This quote describes a dedicated team of clinicians meeting regularly to review data and discuss the ongoing implementation of the remote patient monitoring program, which directly matches the strategy's definition."
