ID number,Author last name,Variable name in dataset,strategy number (for sorting),Strategy name,AI Coded Value,Textual Evidence,Rationale,Secondary coder assessment ,Human Coded Value,Notes from secondary coder ,"Team member checking when secondary coder votes ""no"""
4684,Thakur,strat_3,3,Conduct cyclical small tests of change,1,We assessed the CGM program and noted key aspects to guide future implementation and scalability.,"The paper describes a pilot implementation project, which is a small test of change, and explicitly states that they assessed the program to guide future implementation and scalability, which aligns with the cyclical nature of this strategy.",Correct,1,"They specify this objective, ""Our objective is to share insights on theimplementation and outcome of the CGM program for diabetesmanagement among the CUHCC’s patient population and toenumerate lessons learned for an overarching digital strategyfor our organization.""",
4811,Bowen,strat_4,4,Conduct local needs assessment,1,"The prevalence of obesity rate in this city was 41.7%, surpassing the state norm 39.5%. The overall rate of adult T2DM was 11.8%, above the average incidence of 11.0% in the state.","The project team analyzed local data on obesity and diabetes prevalence, comparing it to state norms to establish the specific need for a weight-loss intervention in their community.",No,0,"Yes, they framed the 'local problem' and available knowledge in the introduction but did not conduct a local needs assessment ",No
4052,Gautom,strat_4,4,Conduct local needs assessment,1,"In a study conducted in a large FQHC, our team previously reported a one-year follow-up colonoscopy uptake of 43%.",This quote demonstrates the use of local data to identify a care gap and establish the need for an intervention to improve follow-up colonoscopy rates.,"Yes, but the rationale provided is insuffient",1,"the risk prediction model they developed was based on knowledge of needs at the local leve--""we developed a risk prediction model that assigned each patient a baseline predictedprobability of obtaining a colonoscopy. These methods will be published elsewhere,but briefly, the probability score included 12 variables: age, race, language, insurance,county, a composite variable for sex and mammogram screening, number of prior missedappointments, Gagne’s comorbidity score, number of prior encounters, BMI, marital status,and prior screening.""",
3994,Ghosh,strat_4,4,Conduct local needs assessment,1,An EPIC work-­bench report (WBR) was run to identify active EBNHC patients (defined as at least one visit to a primary care department in the past 18 mo) whose health record stated that CCS screening was overdue.,A local needs assessment was conducted by analyzing electronic medical record data to identify the number of patients overdue for screening and demonstrate the need for the quality improvement project.,No,0,,No
4036,McAtee,strat_4,4,Conduct local needs assessment,1,The newly trained CCHW utilized results of the initial HRA to offer targeted health coaching specific to the patients– chronic disease–related needs.,"The program used a health risk assessment (HRA) at baseline to collect data on individual patient needs and barriers, which was then used to tailor the health coaching intervention.","No, assessing patient need alone is not a local needs assessment",0,,No
4503,McCann,strat_4,4,Conduct local needs assessment,1,"A manual chart review of 90 patient charts from the Midwest health center’s quarter three of ﬁscal year 2022 was compared with the EHR-generated report, revealing 27% of the patients marked as noncompliant were due to external data capture errors","The project team conducted a manual chart review to compare local performance with EHR-generated reports, identifying a specific gap in care documentation that established the need for the intervention.","Yes, the clinic sought to understand why their UDS numbers were low and identified multiple factors were contributing to the clinic’s substandardpercentage, including outside facility documentation,incomplete hysterectomy documentation, and patientdeferrals of the screening at the time of the visit.",1,,
4258,Mehta,strat_4,4,Conduct local needs assessment,1,This study was performed at a community health center in southeastern Pennsylvania with a baseline screening rate of approximately 22%.,"The text identifies the low baseline colorectal cancer screening rate at the specific community health center, which constitutes an assessment of the local need for an intervention to improve screening uptake.","No, the baseline CRC screening rate alone doesn't meet criteria",0,,No
4520,Radtke,strat_4,4,Conduct local needs assessment,1,"To be eligible, patients needed to be over the age of 18 years, actively receiving healthcare in the Castle Family Health Center Network, screen positive for food insecurity by answering affirmatively to one or more questions on the Hunger Vital Sign [27], and have a HbA1c of 6.5 % or higher, indicating a diagnosis of type 2 diabetes [28].","The study used specific screening tools, the Hunger Vital Sign and HbA1c levels, to collect data and assess the local patient population's need for the food intervention.","No, the screening tools were the criteria for enrollment not an activity",0,,No
4684,Thakur,strat_4,4,Conduct local needs assessment,1,"The burden of diabetes in our population is higher than the national statistics, per HRSA data.","The authors explicitly state they used local health data (HRSA data for their population) to identify a higher-than-average burden of diabetes, which established the need for the CGM program.","No, a local needs assessment not conducted",0,,No
4890,Ung,strat_4,4,Conduct local needs assessment,1,"From 2021 to 2023, this FQHC's cervical cancer screening rates have been consistently below the national average, ranging approximately 60%.",The study team analyzed local clinical data on cervical cancer screening rates to identify a care gap and establish the need for the self-swab innovation at their specific FQHC.,"Correct--""Currently, the PCPs at KPHC do not perform cervical cancerscreening. Instead, patients are referred to the KPHC women'shealth clinic. This referral process can be a barrier to completingscreening, with many patients never attending the women's health appointment. From 2021 to 2023...""",1,,
4811,Bowen,strat_5,5,Develop a formal implementation blueprint,1,The aim of this program was to decrease weight and BMI of 80% of adult participants who were diagnosed with obesity and T2DM by 5% and decrease hemoglobin A1c level 0.5%.,"The project established a formal plan with a clear aim, target population, specific goals for weight and A1C reduction, and a defined three-month timeline, which serves as an implementation blueprint.",Yes--there is a QI protocol outlined that includes strategies,1,,
4052,Gautom,strat_5,5,Develop a formal implementation blueprint,1,A detailed protocol for the PN intervention has been published.,"This quote indicates that a formal, detailed plan was developed to guide the implementation of the patient navigation intervention, which constitutes an implementation blueprint.",Yes--the PN procedures are protocolized and strategies are detailed,1,,
4617,Hammarlund,strat_5,5,Develop a formal implementation blueprint,1,"Care providers from participating FQHCs attended a 7-hour, virtual orientation for the ECHO Diabetes program that included an overview of protocols, an introduction to the hub teams, exposure to foundational topics in diabetes care, and directions on how to utilize program resources.","The text describes a structured program with a formal orientation covering protocols, resources, and foundational topics, which serves as a blueprint guiding the implementation effort.","No, there were protocols for diabetes management but not implementation specific",0,No,
4258,Mehta,strat_5,5,Develop a formal implementation blueprint,1,"The protocol, statistical plan, and outreach content appear as a Supplement, and the protocol was registered at ClinicalTrials.gov (NCT04711473).","The study developed and registered a formal protocol and statistical plan, which serves as a detailed implementation blueprint outlining the aim, scope, timeframe, and measures for the intervention.","Yes, sort of...there is a specified implementation blueprint but this is because its an RCT",1,,
3987,Nuno,strat_5,5,Develop a formal implementation blueprint,1,"The 13-week calendar presented topics in the following order: (W1) introduction to MSD; (W2) living a healthy life with T2D; (W3) are you at risk of developing CVD?; (W4) maintaining a healthy weight; (W5) beneﬁts of physical activity; (W6) glucose and sugar; (W7) everything you need to know about high blood pressure, salt, and sodium; (W8) control your cholesterol, eat less fat; (W9) is our community healthy?; (W10) enjoy life with emotional well-being; (W11) effective management of T2D is a shared responsibility; (W12) enjoy healthy meals with friends and family, meal demonstration; and (W13) review/graduation.","The paper details the structured 13-week curriculum, including weekly topics and session segments, which serves as a formal implementation blueprint guiding the intervention's delivery.","Yes, sort of??? A detailed intervention and curriculum are specified.  though it is hard to delineate between the intervention and imp strategies",1,,
4647,Samuel-Hodge,strat_5,5,Develop a formal implementation blueprint,1,"Site implementation team creates a team charter, meets monthly, and integrates Med-South into site’s health service workﬂow",The requirement for each site's implementation team to create a team charter serves as a localized formal implementation blueprint to guide their efforts in integrating the program.,"Yes, ",1,,
4684,Thakur,strat_5,5,Develop a formal implementation blueprint,1,"The CGM program followed a structured protocol (refer to Figure 1). During enrollment and subsequent visits, pharmacists were responsible for the application and removal of CGM sensors. They also provided patient education and instructions on how to use CGM devices. There was no real-time monitoring of CGM data given the technological barriers, but in follow-up visits, pharmacists downloaded and reviewed the glucose data and adjusted patients’ medications. Follow-up visits were scheduled according to the patient’s HbA1c levels.","The paper describes and depicts a structured protocol that outlines the aim, scope, roles, and processes for the CGM program, which serves as a formal implementation blueprint to guide the effort.",Yes,1,,
4247,Coronado,strat_6,6,Develop and implement tools for quality monitoring,1,...the timing and outcomes of the live call advance notiﬁcations were recorded by health education staff using an Excel tracking form.,An Excel tracking form was specifically developed and used as a tool to monitor the delivery and outcomes of the live phone call component of the intervention.,"yes, this was described as a part of the intervention (not data collection)",1,,
3936,Farley,strat_6,6,Develop and implement tools for quality monitoring,1,SDoH needs were categorized and documented within the Medication Therapy Problem Documentation Tool developed by Optimizing Medications for Better Health.,"The study implemented a specific documentation tool to categorize and track the social determinants of health needs identified by pharmacists, which serves as a quality monitoring tool for the new screening process.",yes,1,,
4052,Gautom,strat_6,6,Develop and implement tools for quality monitoring,1,"PN activities were recorded in a REDCap database hosted by Kaiser Permanente, which logged all navigator activities, contact attempts, and outcomes for each patient.","This quote describes the implementation of a specific tool, a REDCap database, designed to monitor the quality and processes of the patient navigation intervention.",yes,1,,
3994,Ghosh,strat_6,6,Develop and implement tools for quality monitoring,1,"A patient survey was created with leaders of the CCS project operations team, the director of clinical compliance and risk management, and the Crossroads Group survey company.",A new patient satisfaction survey was developed as a tool to monitor the quality of the patient experience in the newly created clinics.,"yes, there was also a chart review prodedure that is a QI tool",1,,
4069,Glasser,strat_6,6,Develop and implement tools for quality monitoring,1,"CRC screening registries were developed based on CQM requirements (active patients, men and women, ages 50–75).","The project team developed a specific tool, a screening registry, to introduce into their quality monitoring system to measure screening processes for the innovation.",yes,1,,
3528,Kim,strat_6,6,Develop and implement tools for quality monitoring,1,"In addition, weekly summaries of each participant’s data were produced as pdfs were uploaded to the electronic health record (EHR; ►Fig. 3)","The project developed and implemented several tools, including a custom app, a web portal, and automated weekly summary reports, specifically for monitoring patient data for quality improvement purposes.",yes,1,,
3971,Kruse,strat_6,6,Develop and implement tools for quality monitoring,1,Mass League provided training with DRVS to support creation of registries and summary data to guide adaptation (Table 1).,This describes the creation of specific data tools (registries and summary reports) within an existing system for the purpose of monitoring the implementation's progress and outcomes.,yes,1,,
4746,Llavona-Ortiz,strat_6,6,Develop and implement tools for quality monitoring,1,"Lastly, clinical records of participants were requested from participating centers following HIPAA-compliant procedures to obtain data on CRCS completion (primary outcome).","This quote shows the implementation of a specific tool, the review of clinical records, to monitor the primary outcome measure of CRCS completion, which is a form of quality monitoring for the intervention.","no, this was a data request not a QI tool that was used to guide the implementation",0,No,
4036,McAtee,strat_6,6,Develop and implement tools for quality monitoring,1,RIDHDS created an HRA to be utilized during the IP and the PP by compiling several assessments and solicitating feedback from CHTs.,"The program developed a new Health Risk Assessment (HRA) tool specifically for this project to monitor patient behaviors, knowledge, and self-management.","no, this is a component of the intervention",0,discussed with KH,
4503,McCann,strat_6,6,Develop and implement tools for quality monitoring,1,The project leader created tip sheets on how to link external documentation in a way that will count toward UDS measures.,"The project team developed and implemented tip sheets, which are tools that provide a protocol for staff on how to correctly link external documentation to ensure it is captured by the quality monitoring system.","yes, the study aim is to improve the quality metric reporting ",1,,
4520,Radtke,strat_6,6,Develop and implement tools for quality monitoring,1,"Patients were not restricted on the number of vouchers they could redeem, and the voucher redemption rates were collected weekly over the intervention.",The researchers implemented a specific tool to monitor the implementation process by collecting voucher redemption rates on a weekly basis.,"yes, voucher redemption rates are a auality metric",1,,
4647,Samuel-Hodge,strat_6,6,Develop and implement tools for quality monitoring,1,Counselors enter intervention delivery data into REDCapb (a data capture and management system),"The study implemented REDCap as a specific tool for counselors to enter data on intervention delivery and fidelity, which directly aligns with developing and using tools for quality monitoring.","Yes, the authors specify that this is an imp strategy in the manuscript",1,,
3974,Shareef,strat_6,6,Develop and implement tools for quality monitoring,1,"The patient navigator was provided with a weekly list of individuals with an abnormal FIT and asked to use a checklist to ensure completion of key steps in the follow-up process, and to implement specific interventions for any incomplete steps (Table 1).",A specific checklist was developed and implemented as a tool for the patient navigator to monitor the quality and completion of the follow-up care process for each patient.,"Yes, the weekly list and the checklist are tools",1,,
3936,Farley,strat_7,7,Develop and organize quality monitoring systems,1,"SDoH documentation included the type of SDoH identified, the intervention made to address the SDoH need (eg, referral to a community-based organization, referral to a clinic-based resource, or issue resolved by the pharmacist), and the type of resource to which patients were referred to address SDoH needs (eg, community-based organization or clinic-based resource).","The study organized a system for pharmacists to document the type of SDoH need, the intervention taken, and the referral resource used, which constitutes a quality monitoring system for the new SDoH screening process.","Yes, they adapted tools and a documentation strategy for this",1,,
4052,Gautom,strat_7,7,Develop and organize quality monitoring systems,1,"PN activities were recorded in a REDCap database hosted by Kaiser Permanente, which logged all navigator activities, contact attempts, and outcomes for each patient.",This quote describes the development and organization of a data collection system used to monitor the clinical processes and outcomes of the patient navigation program.,"No, this was a data collection process not an implementation strategy",0,No,
3994,Ghosh,strat_7,7,Develop and organize quality monitoring systems,1,The outreach team was responsible for calling patients from the validated list to schedule and keep track of outreach outcomes.,A new system was organized for quality monitoring by creating a dedicated team with the specific procedure of tracking patient outreach outcomes.,Yes,1,,
4069,Glasser,strat_7,7,Develop and organize quality monitoring systems,1,"CRC screening registries were developed based on CQM requirements (active patients, men and women, ages 50–75).",The project developed and organized a system for monitoring clinical processes by creating patient registries based on clinical quality measure requirements.,"Yes, they used these to compare the progress in intervention and control sites as a part of the implementation porcess",1,"Flag, they assessed for barriers and faciliators through the implementation process but this is not a study that was captured in that coding group.",
4727,Jelalian,strat_7,7,Develop and organize quality monitoring systems,1,"Weekly group sessions were recorded, and approximately 20% of the 416 recorded sessions (n = 57 intensive treatment, 28 maintenance) were randomly selected and coded by an independent coder who was not part of the research team.","This quote describes the organized system for quality monitoring, which includes recording sessions, randomly selecting a subset for review, and using an independent coder to assess fidelity for quality assurance.","No, this was a data collection process not an implementation strategy",0,,
3528,Kim,strat_7,7,Develop and organize quality monitoring systems,1,The architecture of ACTIVATE platform is shown in ►Fig. 1. Participants used a custom app available on Android and iOS (►Fig. 2) to facilitate pairing of the commercially available RPM devices to the smartphone/tablet via Bluetooth and transmit data to the ACTIVATE system.,"The project developed and organized a comprehensive system, including a custom app, data transmission infrastructure, and a web portal, to monitor clinical data for quality improvement.",Yes,1,,
3971,Kruse,strat_7,7,Develop and organize quality monitoring systems,1,Outcomes were measured using Azara DRVS which maps onto electronic health record (EHR) fields.,This describes the organization of a data system that pulls information from clinical records to monitor outcomes for quality improvement purposes.,"yes, these are described as implementation processes in the manuscript and clinic staff were trained on how to do this",1,,
4647,Samuel-Hodge,strat_7,7,Develop and organize quality monitoring systems,1,"For implementation data collection, counselors at each site received training on entering program delivery ﬁdelity data into REDCap, while research staﬀwere responsible for collecting data on adoption and reach via a tracking log maintained by the study coordinator.","The study established a clear system using REDCap for counselors to report on program delivery fidelity, which constitutes organizing a quality monitoring system for the implementation effort.","No, these are described as the ""development and implementation of QI monitoring systems"" in their manuscript",0,Flag--this study specifies the ERIC strategies in table 2. We should check against our coding: (1) organize site implementation team meetings; (2) provide ongoing training; (3) distribute educational materials; (4) devleop and implement tools for QI monitoring; and (5) centralize technical assistance,
4684,Thakur,strat_7,7,Develop and organize quality monitoring systems,1,"We defined the outcome measure of interest as the change in levels of HbA1c over time. Baseline HbA1c level is defined as the result closest in time prior to CGM enrollment. Follow-up HbA1c level is defined as the first and second results (about 3 months after the baseline HbA1c level and 6 months after the baseline HbA1c level, respectively) after CGM enrollment.","The project team organized a specific system and procedure to monitor patient outcomes (HbA1c levels) at defined intervals (baseline, 3 months, 6 months) for the purpose of quality improvement and program evaluation.",Yes,1,,
3994,Ghosh,strat_8,8,Obtain and use patient/consumer and family feedback,1,The operations team wanted to collect patient satisfaction data on the evening/weekend CCS clinics to improve clinics in the future.,The project team deliberately developed and used a patient survey to obtain feedback on the implementation effort with the stated goal of using the information for future improvements.,Correct,1,,
4727,Jelalian,strat_8,8,Obtain and use patient/consumer and family feedback,1,Program acceptability was measured with an adapted self-report measure of program satisfaction administered to caregivers at 4- and 10-month assessments.,"This quote explicitly states that a satisfaction measure was administered to caregivers at two time points to gather their feedback on the program, which is a direct method of obtaining consumer feedback on the implementation effort.",Correct,1,,
4701,Katz,strat_8,8,Obtain and use patient/consumer and family feedback,1,"In addition to assessing satisfaction with the included materials, the surveys in the video and audio brochure groups included items focused on the relevance of the materials, the use of the disposable gloves and collection stool device, and if there were any technological issues with the videos or audio recordings.","The researchers developed and mailed surveys to patients to obtain feedback on their satisfaction with and the relevance of the intervention materials, which is a direct method of obtaining patient feedback on the implementation effort.",Correct,1,,
4746,Llavona-Ortiz,strat_8,8,Obtain and use patient/consumer and family feedback,1,"Participants in the intervention arm also responded to specific questions regarding their experience with SPLV. These questions assessed whether they identified with the actors in the video, found the educational materials useful, perceived the information provided as easy to understand, and whether the intervention influenced their decision to undergo a CRCS test.","This quote explicitly details the collection of feedback from participants about their experience with the intervention's components to assess its usefulness and impact, which is a direct application of obtaining patient feedback.",Correct,1,,
4647,Samuel-Hodge,strat_8,8,Obtain and use patient/consumer and family feedback,1,"Research staﬀadministered a survey on program acceptability as part of the post-intervention survey, which included questions about barriers to attendance; satisfaction with program delivery format, program materials, counseling experience, and health outcomes; and conﬁdence in maintaining behavior changes.",The study systematically collected feedback from participants via a post-intervention acceptability survey to assess their satisfaction and perceived barriers related to the program's implementation.,Correct,1,,
4890,Ung,strat_8,8,Obtain and use patient/consumer and family feedback,1,"After sample collection, participants completed a 5-minute written survey concerning their experience collecting the sample and knowledge of cervical cancer.",The study team systematically collected feedback from all participants via a written survey immediately after they used the self-swab kit to understand their experience with the new screening process.,Correct,1,,
5032,Burgermaster,strat_9,9,Purposefully reexamine the implementation,1,"In future implementations, we plan to reduce this problem with a software update that automates PCP alerting.","This statement shows that the team monitored the implementation process, identified a problem with alerts, and planned a specific adjustment to the strategy for future use.",No. Proposed for future research; not in current study ,0,Agree,No
3994,Ghosh,strat_9,9,Purposefully reexamine the implementation,1,"The last two Saturday clinics were overbooked with 73 and 79 patients, respectively, based on the number of missed appointments.",The implementation team monitored the rate of missed appointments and purposefully adjusted the scheduling strategy by overbooking later clinics to improve efficiency.,Correct,1,,
4069,Glasser,strat_9,9,Purposefully reexamine the implementation,1,"core members of the team meet quarterly to review the QI reports and continue to enhance the program, identifying any subpopulations needing a different strategy as part of the continuous QI process.",The team used a concrete schedule (quarterly meetings) to monitor progress via QI reports and adjust implementation strategies to continuously improve quality.,Correct,1,,
3528,Kim,strat_9,9,Purposefully reexamine the implementation,1,"The health care teamlet met in a huddle every week to discuss RPM data, treatment goals and current status, and adjustments to care plans.","The clinical team met on a concrete weekly schedule to review patient progress data and make adjustments to care plans, which constitutes a purposeful reexamination of the clinical practice implementation.",Correct,1,,
4258,Mehta,strat_9,9,Purposefully reexamine the implementation,1,Text and voice message reminders were delayed in the ﬁrst batch owing to research operational issues from the decision to switch from telephone call to automated reminders for scalability purposes.,The implementation team reexamined their reminder strategy during the trial and adjusted it from telephone calls to automated messages to improve the scalability of the intervention.,No,0,"This was due to ""research operational issues"" not purposeful reexamination -- pg. 2119",No 
4647,Samuel-Hodge,strat_9,9,Purposefully reexamine the implementation,1,Research team coaches implementation team on Med South delivery and implementation during monthly technical assistance phone calls,"The monthly technical assistance calls provided a scheduled opportunity for the research team to coach and guide the site implementation teams, allowing for ongoing monitoring and adjustment of the implementation process.",No,0,"Flag - Facilitation and/or technical assistance, but not identified in that category",No 
3974,Shareef,strat_9,9,Purposefully reexamine the implementation,1,"Between cycles several changes were made to streamline the process and address challenges. Challenges were identified at the first cycle at data collection, systems, and patient levels.","The team monitored progress after the first PDSA cycle, identified specific challenges, and then adjusted the implementation strategies to address them, which is the core of this strategy.",Correct,1,,
4545,TangkaFKL,strat_9,9,Purposefully reexamine the implementation,1,The timeframe and number of text and reminder calls varied over the years as the AltaMed team changed the intensity of this intervention to increase the percentage of tests returned.,"The text indicates that the implementation team monitored progress over multiple years and deliberately adjusted the implementation strategies, specifically the intensity of reminders, in an effort to continuously improve the rate of returned screening tests.",Correct,1,,
4684,Thakur,strat_9,9,Purposefully reexamine the implementation,1,"We enumerated the key takeaways from this project with a team-based approach involving key stakeholders in the program including the lead pharmacist and the data analyst. The chief executive officer and the chief innovation & strategy officer, both of whom are advocates for digital technology to address health equity, were an integral part of this collaborative effort.","The project team, including key stakeholders and leadership, purposefully reexamined the pilot implementation to identify key takeaways and lessons learned, which are detailed in the paper to guide future strategy.",No,0,This did not inform adjustments throughout the intervention.,No -- NAgree--this was how they originally formulated the implementation plan (not re-examined it)
5032,Burgermaster,strat_10,10,Stage implementation scale up,1,"In this pilot cRCT, our major goal was to assess trial and intervention feasibility to plan for a larger multisite pragmatic clinical trial in the future.","The study is explicitly described as a pilot trial conducted to assess feasibility before planning a larger, scaled-up clinical trial, which is the definition of staging implementation.",Correct,0,No - This is how most pilots are described. Wondering if this strategy is more about projects incorporating multiple phases for the scaling. ,No; DMO note:  Agree--this is a standard pilot
4202,Coronado,strat_10,10,Stage implementation scale up,1,"We pilot-tested three versions of the program in two health center clinics, using an individual randomized design.","The study conducted a pilot test in two clinics to select the best intervention version before rolling it out to 15 clinics in the main trial, which is a form of staged scale-up.",Correct,0,No - This is how most pilots are described. Wondering if this strategy is more about projects incorporating multiple phases for the scaling.,No; DMO note:  Agree--this is a standard pilot
4674,HudakKMA,strat_10,10,Stage implementation scale up,1,This pilot program suggests that a partnership between an FQHC and a local food bank can be an effective model for reaching patients with food insecurity and diet-related chronic conditions.,"The study is explicitly described as a pilot program, which represents the initial, small-scale phase of a staged implementation approach before a potential system-wide rollout.",No,0,,No; DMO note:  Agree--this is a standard pilot
3528,Kim,strat_10,10,Stage implementation scale up,1,The objective was to assess the outcomes of a pilot prior to considering expansion of the program to a larger group of patients at the clinic.,"The project was explicitly designed as a pilot to test the intervention before a potential larger-scale expansion, which is the definition of staging implementation scale-up.",No,0,,No; DMO note:  Agree--this is a standard pilot
3987,Nuno,strat_10,10,Stage implementation scale up,1,"Our future plans include the implementation of MSD as a larger prospective cohort study in ﬁve FQHCs in Southern and Central Arizona, to have a greater reach to the US Hispanic populations in the state.",The study is explicitly described as a pilot study conducted in two health centers to assess feasibility and outcomes before a planned larger-scale implementation in five additional health centers.,No,0,,No; DMO note:  Agree--this is a standard pilot
4647,Samuel-Hodge,strat_10,10,Stage implementation scale up,1,Successful implementation of Med-South in these rural public health settings set the stage for tailoring these implementation strategies for the current study focused on statewide scale-up (35).,"The paper explicitly describes the current statewide scale-up as the culmination of previous, smaller studies in public health settings, which represents a staged approach to scaling up the intervention.",Correct,1,This is a scale-up trial,
4684,Thakur,strat_10,10,Stage implementation scale up,1,"Our pilot project was able to successfully recruit 148 participants for the CGM program, along with an enumeration of lessons learned. The reduction of HbA1c levels from baseline to follow-up periods demonstrates the potential and possibility of CGM devices in glycemic control. This suggests that CGM is an effective tool for the management of diabetes, even in resource-constrained environments serving diverse patient populations.","The paper describes a pilot project with a limited number of participants and explicitly discusses using the findings and lessons learned to inform future scalability and sustainability, which is the essence of staging implementation scale-up.",No,0,,No; DMO note:  Agree--this is a standard pilot
4115,Walker,strat_10,10,Stage implementation scale up,1,"ECHO Diabetes used a variation of a stepped-wedge study design (11), allowing for two phases of program kick-off and patient recruitment at spokes.","The study employed a stepped-wedge design, which is a formal research method for phasing the intervention rollout to different groups of clinics at different times, fitting the definition of staging the implementation.",No,0,This design was not for the purpose of scaling,No; DMO note: Agree
4052,Gautom,strat_11,11,Centralize technical assistance,1,"Additionally, our program was delivered by clinic staff who were trained by the research team, reflecting ‘real world’ implementation of the program.","The research team, a central entity external to the implementing clinic, trained the local clinic staff on how to deliver the patient navigation program, which constitutes centralized technical assistance for implementation.",No,0,"This was initial training, not centralized technical assistance. Only mentioned in the limitations.",No - Agree
3994,Ghosh,strat_11,11,Centralize technical assistance,1,A messaging pool was created in the EMR for providers to ask gynecologists questions about CCS necessity or frequency during the validation process. Three staff gynecologists volunteered for this task.,"This describes a centralized system (the EMR messaging pool) where designated experts (three gynecologists) provided on-demand technical assistance to a team of providers on an implementation issue, which fits the definition of centralizing technical assistance.",Correct,1,,
3528,Kim,strat_11,11,Centralize technical assistance,1,"Over 6 months, the ACTIVATE team met with clinic codesigners in several workstream meetings every 2 weeks: digital health pathway (clinic workﬂow, care coordination), technology (information technology, technology education, and training), and community engagement (digital health barriers, health education, patient outreach).","The external ACTIVATE research team provided centralized, ongoing technical assistance to the clinic staff on implementation issues like workflow, technology, and training through structured bi-weekly meetings.",Correct,1,,
