ID number,Author last name,Variable name in dataset,strategy number (for sorting),Strategy name,AI Coded Value,Textual Evidence,Rationale,Secondary coder assessment ,Human Coded Value,Notes from secondary coder ,"Team member checking when secondary coder votes ""no""",Rationale
4811,Bowen,strat_23,23,Develop and/or leveraging academic partnerships,1,"Pamela G. Bowen, PhD, BBA, CRNP, FNP-BC, is an Associate Professor, Ashley Clark, CRNP, DNP, is a Graduate, Tamaria Dunn, CRNP, DNP, is a Graduate, Lakimbrell Marshall, CRNP, DNP, is a Graduate, Anaidra Reese, CRNP, DNP, is a Graduate, and Tedra S. Smith, DNP, CPNP-PC, CNE, CHSE, is an Associate Professor, School of Nursing, University of Alabama at Birmingham, Birmingham, AL.","The quality improvement project was led and administered by associate professors and graduates from the School of Nursing at the University of Alabama at Birmingham, demonstrating a partnership with an academic unit to bring expertise to the implementation effort.",No,0,"Jure, I checked our prior coding and essentially the article needs to reference the academic institution in the text (not just in the author affilications). Examples include: One clinical pharmacist was a faculty member funded from the school of pharmacy; references to participating students and research assistants; protocol approved by university IRB. Note we only coded it 14 times out of 74 articles last time   ",No,Agree + same issue as above
5032,Burgermaster,strat_23,23,Develop and/or leveraging academic partnerships,1,This study was approved by the University of Texas at Austin Institutional Review Board no. STUDY00002261 is under an expedited review.,"The study was conducted by university researchers in partnership with a community health center network and required university institutional review board approval, demonstrating a formal academic partnership to bring research skills to the project.",Correct,1,"Search for ""university""",,
4247,Coronado,strat_23,23,Develop and/or leveraging academic partnerships,1,"1Kaiser Permanente Center for Health Research, Portland, Oregon. 2University of Arizona Cancer Center, Tucson, Arizona. 3AltaMed Health Services Corporation, Los Angeles, California.","The study was conducted at an FQHC (AltaMed) in partnership with academic and research centers (Kaiser, University of Arizona) that brought research skills to the implementation project.",Correct,1,"""trained by the study team""",,
3936,Farley,strat_23,23,Develop and/or leveraging academic partnerships,1,"Author affiliations College of Pharmacy, University of Minnesota, Minneapolis (Farley and Pradeep); Federally Qualified Urban Health Network, Minneapolis, MN (Pradeep).","The study was conducted and authored by researchers from the University of Minnesota's College of Pharmacy in partnership with the health network, demonstrating an academic partnership bringing research skills to evaluate the project.",No,0,Could not find any references to the university in the paper ,No,"Although upon reflection, it is interesting AI is picking up on this. Wish my students were this thorough :)"
4052,Gautom,strat_23,23,Develop and/or leveraging academic partnerships,1,"PRECISE was conducted as a partnership between the Kaiser Permanente Center for Health Research and Sea Mar Community Health Centers, a large, multi-facility FQHC headquartered in Seattle, Washington.","The study involved a partnership between a community health center and a dedicated health research center, which brought research skills to the implementation project, fitting the definition of leveraging academic-like partnerships.",correct,1,"Clinic staff were ""trained by the research team""",,
4069,Glasser,strat_23,23,Develop and/or leveraging academic partnerships,1,"In 2016, Roswell Park Comprehensive Cancer Center (Roswell), an NCI-designated cancer center in downtown Buffalo, partnered with the Jericho Road Community Health Center (JRCHC) to increase CRC screening rates as a quality improvement (QI) intervention.","The FQHC partnered with an NCI-designated cancer center, which is an academic institution, to bring research and clinical skills to the implementation project.",Correct,1,Roswell park is an academic research center (I checked this).  It is named multiple times in paper,,
4674,HudakKMA,strat_23,23,Develop and/or leveraging academic partnerships,1,The study was performed under funding received by NORC at the University of Chicago from the Food Bank Council of Michigan.,"The program partnered with a research organization, NORC at the University of Chicago, to bring research and evaluation skills to the implementation project.",No,0,Only reference was to the IRB board,No,agree
4701,Katz,strat_23,23,Develop and/or leveraging academic partnerships,1,"The pilot study was conducted in partnership with a federally qualified health center (FQHC) located in Scioto County, Ohio to pilot test the mailed FIT outreach program, called Fit Starts at 45.","Researchers from The Ohio State University, an academic institution, partnered with a community FQHC to bring research skills to the implementation project.",Correct,1,Almost all authors are at an academic institution. Refers to the FQHC repeatedly as the partner,,
4036,McAtee,strat_23,23,Develop and/or leveraging academic partnerships,1,The authors also thank the Community Health Worker Association of Rhode Island and Rhode Island College (RIC) Institute for Education in Healthcare for facilitating the Specialty Endorsement in Cardiovascular Health & Diabetes (CVD/DM).,"The program partnered with a college's Institute for Education in Healthcare to facilitate the specialty training for the community health workers, which aligns with leveraging an academic partnership for shared training.",Correct,1,"thanked ""Rhode Island College (RIC) Institute for Education in Healthcare for facilitating the Specialty Endorsement in Cardiovascular Health & Diabetes """,,
3987,Nuno,strat_23,23,Develop and/or leveraging academic partnerships,1,"The University of Arizona (UArizona), in collaboration with El Colegio de Sonora in Hermosillo, Sonora, Mexico, developed the MSD curriculum to decrease CVD and its complications in a Mexican population diagnosed with T2D.","This quote describes a partnership between two academic institutions, the University of Arizona and El Colegio de Sonora, to develop the intervention curriculum for the implementation project.",Correct,1,See column G; pretty clear,,
4647,Samuel-Hodge,strat_23,23,Develop and/or leveraging academic partnerships,1,"We recruited and enrolled staﬀfrom CHCs and local HDs, and site staﬀreferred potential participants to University staﬀfor screening, consent and enrollment.","The university research team partnered with public health sites, bringing research skills for screening, consent, and enrollment to the implementation project.",Correct,1,See column G; pretty clear,,
3974,Shareef,strat_23,23,Develop and/or leveraging academic partnerships,1,The study was approved by the Institutional Review Board Administration of Family Health Centers of San Diego and University of California San Diego.,"The project was a collaboration between a federally qualified health center and academic institutions, including the University of California San Diego, as evidenced by the joint IRB approval and author affiliations.",No,0,"Found no references to university, study team, students, research assistants etc",No,"Thought: we're detecting false positives, which is great - I always tell my teams to err on the side of coding/capturing too much, we can then weed out irrelevant stuff. It's hard to detect false negatives this way tho. Was the AI instructed to err on the side of false positives?"
4684,Thakur,strat_23,23,Develop and/or leveraging academic partnerships,1,Coauthor (AT) time and the secure availability of clinical data for analysis were supported by the Clinical and Translational Science Award.,"This shows the project leveraged resources and research skills from an academic partner, the Clinical and Translational Science Institute, to support data analysis for the implementation project.",Correct,1,See column G; pretty clear,,
3934,Venishetty,strat_23,23,Develop and/or leveraging academic partnerships,1,Ethical approval for the study was obtained from the Institutional Review Board of Texas Tech University Health Sciences Center El Paso.,"This quote, along with the academic affiliations of the authors, indicates a formal partnership between community FQHCs and a university to bring research skills to the implementation project.",Correct,1,References to project team and study team ,,
4068,Yan,strat_23,23,Develop and/or leveraging academic partnerships,1,"Patient data was shared by clinics with the University of Chicago as limited datasets and were saved on password protected, secure servers.","The study involves a partnership between the University of Chicago and multiple FQHCs, where the academic partner provides research expertise and data management for the implementation project conducted at the clinical sites.",Correct,1,See column G; pretty clear,,
3974,Shareef,strat_27,27,Involve executive boards,1,Results of the initial PDSA cycle were assessed through review of quantitative data and interactive dialogues with the patient navigation and care coordination teams and Family Health Centers of San Diego leaders.,The project team involved organizational leaders in the implementation effort by engaging them in interactive dialogues to assess progress and make changes between PDSA cycles.,Correct,1,See column G; pretty clear,,
4684,Thakur,strat_27,27,Involve executive boards,1,"The chief executive officer and the chief innovation & strategy officer, both of whom are advocates for digital technology to address health equity, were an integral part of this collaborative effort.","This shows the involvement of top-level administrative leadership (CEO and Chief Innovation & Strategy Officer) in the implementation effort, which aligns with the strategy of involving governing structures.",Correct,1,See column G; pretty clear,,
3934,Venishetty,strat_27,27,Involve executive boards,1,including a letter from the medical director of each recruitment site as the first page of the mailed packet to inform patients about how our program received their information,"This quote shows the involvement of clinical leadership (the medical director) in the implementation effort by using their authority to endorse the program and legitimize it for patients, which aligns with involving leadership with 'top-down' powers.",Correct,1,See column G; pretty clear,,
3528,Kim,strat_29,29,Obtain formal commitments,1,A data use agreement was signed by the health center and the ACTIVATE team that allowed for use of a Health Insurance Portability and Accountability Act limited data set for analysis purposes.,"This quote describes a signed data use agreement between the implementation team and the health center, which constitutes a formal written commitment outlining roles and responsibilities for the project.",Correct,1,See column G; pretty clear,,
4036,McAtee,strat_29,29,Obtain formal commitments,1,Quarterly data reports were used to account for required contract deliverables.,"The program used contracts with required deliverables, which represents a formal written commitment from partners detailing their responsibilities for data reporting.",Correct,1,See column G; pretty clear,,
3934,Venishetty (should have included Coronado not Venishetty),strat_29,29,Obtain formal commitments,1,Most of the program’s work is done through collaborative agreements and collaborations with multiple community organizations and FQHCs.,"This quote explicitly mentions ""collaborative agreements,"" which are a form of written or formal commitment from key partners (the FQHCs) that state what they will do to support the implementation.",Correct,1,See column G; pretty clear,,
4115,Walker,strat_29,29,Obtain formal commitments,1,"Spokes were compensated with a stipend ranging from $2,500 to $10,000 for data acquisition and sharing based on spoke size and data acquisition complexity.","The provision of a stipend to participating clinics for data acquisition and sharing implies a formal agreement outlining roles, responsibilities, and tangible benefits for their participation in the implementation effort.",Correct,1,See column G; pretty clear,,
4069,Glasser,strat_30,30,Organize clinician implementation team meetings,1,"Additionally, core members of the team meet quarterly to review the QI reports and continue to enhance the program, identifying any subpopulations needing a different strategy as part of the continuous QI process.",The project organized regular meetings for the core implementation team to review progress reports and reflect on the implementation effort.,Correct,1,See column G; pretty clear,,
3528,Kim,strat_30,30,Organize clinician implementation team meetings,1,"The health care teamlet met in a huddle every week to discuss RPM data, treatment goals and current status, and adjustments to care plans.","This quote describes a dedicated team of clinicians meeting regularly to review data and discuss the ongoing implementation of the remote patient monitoring program, which directly matches the strategy's definition.",Correct,1,See column G; pretty clear,,
3974,Shareef,strat_30,30,Organize clinician implementation team meetings,1,Results of the initial PDSA cycle were assessed through review of quantitative data and interactive dialogues with the patient navigation and care coordination teams and Family Health Centers of San Diego leaders.,"The project held interactive dialogues with the patient navigation and care coordination teams to assess the results of the first implementation cycle, which constitutes a meeting to reflect on the effort and share lessons learned.",Correct,1,See column G; pretty clear,,
4520,Radtke (Strat_31 should have included Venishetty and Yan; not Radtke),strat_31,31,Promote network weaving,1,The integration of Food is Medicine interventions into local trusted organizations already established in the community may serve as an effective strategy for initiating and sustaining patient health behavior change.,"The intervention was deliberately integrated into existing, trusted local organizations to leverage their established community presence and relationships to implement the program effectively.",Correct,1,See column G; pretty clear; meets definition in codebook,,
4811,Bowen,strat_32,32,"Recruit, designate and train for leadership",1,"A 1-time, 60-minute learning management session regarding the implementation of the project was facilitated by the nurse practitioner (NP) with all clinic staff, including registered nurses (RNs), certiﬁed medical assistants (CMAs), and front-desk personnel, before the project’s implementation.",A nurse practitioner was designated as a leader for the change effort and trained all clinic staff on the implementation of the project before it began.,No.,0, The leader is the one who should receive the training (vs implement it),No,agree; was it captured under Train/Educate stakeholders domain?
3994,Ghosh,strat_32,32,"Recruit, designate and train for leadership",1,"The importance of the problem, magnitude of the deficit, and goals of the QI project were presented to all staff during quarterly staff meetings by the Chief Medical Officer.","The Chief Medical Officer was designated as a leader for the change effort and took an active role in communicating the project's goals to all staff, which fits the definition of designating leadership.",Correct,1,"Search for ""an outreach lead""",,
4701,Katz,strat_33,33,Use advisory boards and workgroups,1,"These sessions were followed by an iterative process of two intervention development sessions with ten community members who provided feedback about different video scripts and other intervention materials, and two review sessions with six community members and a physician who provided feedback prior to finalizing all intervention materials.",The study created and engaged workgroups of community members and a physician to provide input and advice on the development of the intervention materials.,Correct,1,See column G; pretty clear,,
4647,Samuel-Hodge,strat_33,33,Use advisory boards and workgroups,1,"The study team engaged both a Community Advisory Board (CAB) and study-speciﬁc workgroup for advice on site recruitment. CAB and workgroup members included representatives of governmental public health organizations (e.g., local health departments, community health centers, rural health groups), community based organizations, Area Health Education Centers (AHEC), and other health-related professionals.",The study team created and engaged a Community Advisory Board and a workgroup composed of diverse stakeholders to provide advice on the implementation effort.,Correct,1,See column G; pretty clear,,
4684,Thakur,strat_33,33,Use advisory boards and workgroups,1,"We enumerated the key takeaways from this project with a team-based approach involving key stakeholders in the program including the lead pharmacist and the data analyst. The chief executive officer and the chief innovation & strategy officer, both of whom are advocates for digital technology to address health equity, were an integral part of this collaborative effort.","This describes the formation of a formal group of multiple stakeholders, including clinicians and executive leadership, to provide input and advice on the implementation effort by identifying key lessons learned.",Correct,1,See column G; pretty clear,,
4052,Gautom,strat_34,34,Visit other sites,1,"The PRECISE PN program adapted the New Hampshire Colorectal Cancer Screening Program (NHCRCSP), which reported a 97% colonoscopy completion rate following PN services delivered by registered nurses to low-income patients who had an appointment for a colonoscopy","The study team explicitly adapted their patient navigation program from a successful, documented program at another site, which aligns with learning from other sites' successful implementation efforts.",No,0,"Not a clear match; plus, we never coded this as a yes in prior articles",No,agree; might be Adaptation (e.g. strat 15?)
4247,Coronado,strat_35,35,Use an implementation advisor,1,"1Kaiser Permanente Center for Health Research, Portland, Oregon. 2University of Arizona Cancer Center, Tucson, Arizona. 3AltaMed Health Services Corporation, Los Angeles, California.",The FQHC partnered with university-affiliated faculty and researchers from other institutions who served as outside experts providing guidance on the implementation and evaluation.,No,0,,No,agree
4069,Glasser,strat_35,35,Use an implementation advisor,1,"In efforts to resolve these barriers, the JRCHC approached Roswell for potential solutions.",The FQHC actively sought guidance from experts at the Roswell cancer center to find solutions for their implementation barriers.,Correct,1,See column G; pretty clear,,
4647,Samuel-Hodge,strat_35,35,Use an implementation advisor,1,Research team coaches implementation team on Med South delivery and implementation during monthly technical assistance phone calls.,"The research team, acting as implementation experts, provided coaching and guidance to the site implementation teams through monthly technical assistance calls.",Correct,1,See column G; pretty clear,,
3974,Shareef,strat_35,35,Use an implementation advisor,1,The study was approved by the Institutional Review Board Administration of Family Health Centers of San Diego and University of California San Diego.,"The project involved a partnership with university-affiliated faculty from the University of California San Diego, who served as outside experts providing guidance on the implementation effort.",No,0,,No,agree
4811,Bowen,strat_36,36,Conduct educational meetings,1,"A 1-time, 60-minute learning management session regarding the implementation of the project was facilitated by the nurse practitioner (NP) with all clinic staff, including registered nurses (RNs), certiﬁed medical assistants (CMAs), and front-desk personnel, before the project’s implementation.","This describes a specific meeting held with various clinic stakeholders to educate them about the implementation of the quality improvement program, which directly aligns with the definition of conducting educational meetings.",Correct,1,See column G; pretty clear,,
4247,Coronado,strat_36,36,Conduct educational meetings,1,Centralized clinic outreach staff were trained to deliver live advance notiﬁcation phone calls during a 4-hour in-person training delivered (in English and Spanish) by the study team.,The study held a 4-hour in-person training meeting for centralized clinic outreach staff to teach them how to deliver the live advance notification phone calls.,Correct,1,See column G; pretty clear,,
3994,Ghosh,strat_36,36,Conduct educational meetings,1,"The importance of the problem, magnitude of the deficit, and goals of the QI project were presented to all staff during quarterly staff meetings by the Chief Medical Officer.","The Chief Medical Officer held educational meetings with all staff to teach them about the quality improvement project, its goals, and the problem it aimed to solve.",Correct,1,See column G; pretty clear,,
4068,Yan,strat_36,36,Conduct educational meetings,1,Both in-person and online GVs included diabetes education led by a staff member or a guest speaker and a facilitator-led discussion to encourage peer support and goal setting.,"The study implemented group visits for patients which included a group diabetes education component led by staff or a guest speaker, fitting the definition of holding meetings to teach stakeholders about the clinical innovation.",No,0,"No, not directed at providers",No,agree; this should probably go under Engage Consumers... are we cross checking with other strategies/domains?
5032,Burgermaster,strat_37,37,Conduct educational outreach visits,1,Each consented PCP met with the study coordinator to review the overall purpose of the study and learn about patient baseline data collection with ASA24.,"A trained person from the study team met with individual providers in their practice setting to educate them about the study and intervention, which aligns with the definition of an educational outreach visit.",correct,1,See column G; pretty clear,,
5032,Burgermaster,strat_38,38,Conduct ongoing training,1,They also received training refresher materials along with the alert.,"In addition to initial training, providers received refresher materials during the trial, which constitutes a form of ongoing training to support their use of the Nutri system.",Correct,1,See column G; pretty clear,,
4069,Glasser,strat_38.  Code as strat_37,38,Conduct ongoing training,1,"To optimize the navigation process, patient navigators were trained in all relevant applications. This included EMR systems, insurance verification and prior authorization, as well as health information exchanges, registration, scheduling, and the coordination of supportive services (interpretation and transportation).","This quote describes training provided to the implementation staff (patient navigators) on the systems and processes needed to carry out the intervention, which aligns with the definition of conducting training. [note that ""onging"" is missing here]","No.    Code this as ""conduct educational meetings"" which are targeted toward specific groups ",0,"All instances where we coded ongoing training previously included references to repeated training over time sucha as the following:  project-wide virtual learning modalities including webinars, conference calls, and telephonic technical assistance and coaching. (Conduct ongoing training); ACS staff conducted training for FQHC staff during two in-person collaborative meetings and monthly virtual meetings; Full-day live learning sessionswere held every 6 months, supplemented by monthly interactive webinars (Conduct ongoing training,.",No,agree
4647,Samuel-Hodge,strat_38,38,Conduct ongoing training,1,"Counselors and members of the implementation team participated in trainings which included 2 self-guided online modules on nutrition and physical activity, completed by counselors, and a series of four 2-h web-based live trainings on program delivery and implementation, completed by both counselors and implementation teams.","The study provided structured, ongoing training to counselors and implementation teams through multiple formats, including online modules and live web-based sessions, to build their capacity to deliver and implement the Med-South program.",Correct,1,See column G; pretty clear; time element included ,,
4811,Bowen,strat_40,40,Develop educational materials,1,"Team members developed a 15-item pre-implementation, and a 10-item post implementation questionnaire adapted from a weight management program to reduce BMI among patients in a rural primary care clinic.","This describes the creation of new materials, specifically questionnaires, to support the implementation and evaluation of the intervention, which fits the definition of developing educational materials.",No,0,See column G; pretty clear.  No. This was a measure versus educational material,No,Agree; tho what an interesting false positive... 
4202,Coronado,strat_40,40,Develop educational materials,1,Patients in the standard mailed FIT condition were mailed a FIT kit with an introductory letter and a one-page educational sheet developed through the BCT process (26).,The text describes the development of an introductory letter and a one-page educational sheet to be included with the mailed FIT kit for patients.,Correct,1,See column G; pretty clear,,
4247,Coronado,strat_40,40,Develop educational materials,1,Outreach staff were given phone call scripts that included answers to frequently asked questions (in English and Spanish).,"The study developed phone call scripts with frequently asked questions for outreach staff to use when delivering the intervention, which are a form of educational material.",Correct,1,See column G; pretty clear,,
3994,Ghosh,strat_40,40,Develop educational materials,1,An orientation document regarding the CCS-­only clinics was created by the project lead and emailed to participating providers several days before the clinic to review.,"An orientation document was developed specifically to educate participating providers about the new CCS-only clinics, which constitutes the creation of educational materials.",Correct,1,See column G; pretty clear,,
4069,Glasser,strat_40,40,Develop educational materials,1,"This included the development of visual aids for patient education in the early stages of the intervention, such as the use of animal and human anatomy to review the gastrointestinal (GI) organs using pictures (Figure 1) and videos (https://www.youtube.com/watch?v=2ML78wLmVaA, accessed on 3 January 2024)).","This quote explicitly states that visual aids, including pictures and videos, were developed for patient education to make it easier for them to learn about the screening process.",Correct,1,See column G; pretty clear,,
4701,Katz,strat_40,40,Develop educational materials,1,"To address barriers to FIT return, a video brochure was developed providing targeted CRC screening information and step-by-step FIT instructions as a component in a mailed FIT program.","The study team developed a video brochure, an audio brochure, and associated letters to provide targeted information and instructions to patients about colorectal cancer screening and how to use the FIT kit.",Correct,1,See column G; pretty clear,,
3528,Kim,strat_40,40,Develop educational materials,1,They recommended multilingual tutorials and individual navigation assistance.,"The text indicates that as part of the co-design process, patient and community members recommended the creation of specific educational materials, multilingual tutorials, to help patients learn how to use the technology.",Correct,1,See column G; pretty clear,,
4746,Llavona-Ortiz,strat_40,40,Develop educational materials,1,"The SPLV intervention consisted of a TIMI, healthcare provider and patient prompts, and printed educational materials, including infographics and a newsletter (Table 1).","The study team developed a suite of printed and multimedia educational materials, including infographics and a newsletter, to inform patients about colorectal cancer screening.",Correct,1,See column G; pretty clear,,
4503,McCann,strat_40,40,Develop educational materials,1,The project leader created tip sheets on how to link external documentation in a way that will count toward UDS measures.,"The project team developed tip sheets, which are educational materials, to guide staff on the new workflow for linking external documentation in the EHR.",Correct,1,See column G; pretty clear,,
4258,Mehta,strat_40,40,Develop educational materials,1,Patients in the colonoscopy-only arm were mailed a letter describing the importance of colorectal cancer screening and encouraging them to get screened via colonoscopy using the colonoscopy referral included with the letter.,"The study developed letters containing educational content about the importance of screening and instructions for testing to send to patients, which aligns with the definition of developing educational materials.",Correct,1,,,
4520,Radtke,strat_40,40,Develop educational materials,1,"Additional nutrition education materials, guides, and referral sheets to other food and nutrition resources in the community were provided along with the food boxes.","The intervention created and provided guides and referral sheets to patients, which fits the definition of developing educational materials to help stakeholders learn about the innovation.",Correct,1,See column G; pretty clear,,
4545,TangkaFKL,strat_40,40,Develop educational materials,1,Texts included fotonovela (pictorial explanation) on colorectal cancer screening.,"The text describes the use of a fotonovela, a type of pictorial educational material, which was developed to explain colorectal cancer screening to patients.",Correct,1,See column G; pretty clear,,
3934,Venishetty,strat_40,40,Develop educational materials,1,simplifying the language of the leaflet and making all instructions pictorial with minimal text,"The study team actively revised an educational leaflet by simplifying its language and adding pictorial instructions to make it easier for patients to use, which is a core component of developing educational materials.",Correct,1,See column G; pretty clear,,
4068,Yan,strat_40,40,Develop educational materials,1,"Messages were available in both English and Spanish, written below a sixth-grade reading level, and culturally tailored for Black and Hispanic patients, with content designed to be practical and applicable for low-income patients.","The text messages for the intervention were specifically developed to be educational, available in multiple languages, written at a low reading level, and culturally tailored, which fits the definition of developing educational materials for stakeholders.",Correct,1,See column G; pretty clear,,
4811,Bowen,strat_41,41,Distribute educational materials,1,"The Athena electronic health records contained Healthwise education sheets that were printed, reviewed, and distributed to all participants prior to the conclusion of their initial visit.","This quote explicitly states that educational materials (Healthwise education sheets) were printed and distributed to all program participants, which is the core activity of this strategy.",Correct,1,See column G; pretty clear,,
4202,Coronado,strat_41,41,Distribute educational materials,1,Patients in the standard mailed FIT condition were mailed a FIT kit with an introductory letter and a one-page educational sheet developed through the BCT process (26).,The text explicitly states that an introductory letter and a one-page educational sheet were mailed to patients along with the FIT kit.,Correct,1,See column G; pretty clear,,
4247,Coronado,strat_41,41,Distribute educational materials,1,Outreach staff were given phone call scripts that included answers to frequently asked questions (in English and Spanish).,The study distributed the developed phone call scripts to the outreach staff to support their delivery of the intervention.,Correct,1,See column G; pretty clear,,
4052,Gautom,strat_41,41,Distribute educational materials,1,Patients were contacted within 30 days of mailing the introductory letter.,"The study mailed an introductory letter to patients as part of the intervention, which is a direct example of distributing educational materials.",Correct,1,See column G; pretty clear,,
3994,Ghosh,strat_41,41,Distribute educational materials,1,An orientation document regarding the CCS-­only clinics was created by the project lead and emailed to participating providers several days before the clinic to review.,The newly created orientation document was electronically distributed via email to the providers who were participating in the clinics.,Correct,1,See column G; pretty clear,,
4069,Glasser,strat_41,41,Distribute educational materials,1,"Once patients were contacted, the patient navigator provided culturally tailored education modified to the overall literacy and health literacy levels.","This quote indicates that patient navigators delivered education to patients, which functionally serves as distributing the educational materials that were specifically developed for this purpose.",Correct,1,See column G; pretty clear,,
4701,Katz,strat_41,41,Distribute educational materials,1,"Patients were randomly assigned to one of three groups that differed on materials sent with the FIT: usual care (manufacturer’s instructions), a video brochure (video instructions, disposable gloves, disposable stool collection device) or an audio brochure (audio instructions, disposable gloves, disposable stool collection device).","The study mailed educational materials, including video brochures, audio brochures, and manufacturer's instructions, to eligible patients as part of the FIT outreach program.",Correct,1,See column G; pretty clear,,
4746,Llavona-Ortiz,strat_41,41,Distribute educational materials,1,"Participants also received a tote bag containing informational flyers about on the FOBT/FIT, colonoscopy, a step-by-step guide on preparing for the CRCS tests, and a general summary of CRC and CRCS guidelines.",The study team distributed a tote bag with various informational flyers and guides directly to participants in the intervention group.,Correct,1,See column G; pretty clear,,
4258,Mehta,strat_41,41,Distribute educational materials,1,Patients in the colonoscopy-only arm were mailed a letter describing the importance of colorectal cancer screening and encouraging them to get screened via colonoscopy using the colonoscopy referral included with the letter.,"The core intervention of the study was mailing letters, referrals, and/or FIT kits directly to patients, which is a direct application of distributing educational materials.",Correct,1,See column G; pretty clear,,
4520,Radtke,strat_41,41,Distribute educational materials,1,"Additional nutrition education materials, guides, and referral sheets to other food and nutrition resources in the community were provided along with the food boxes.","The text explicitly states that educational materials, guides, and referral sheets were provided to patients along with their food boxes, which is a clear act of distribution.",Correct,1,See column G; pretty clear,,
