ID number,Author last name,Variable name in dataset,strategy number (for sorting),Strategy name,AI Coded Value,Textual Evidence,Rationale,Secondary coder assessment ,Human Coded Value,Notes from secondary coder ,"Team member checking when secondary coder votes ""no"""
3987,Nuno,strat_53,53,Intervene with patients/consumers to enhance uptake and adherence,1,The weekly 2 h sessions were broken down into the following seven segments: (S1) assessment of personal goal; (S2) review of last week’s topic; (S3) review of weekly goal; (S4) introduction to the week’s topic; (S5) lecture and activities; (S6) physical activity; and (S7) summary of the session.,"The intervention's weekly structure, which included assessing and reviewing personal goals, is a direct strategy with patients to encourage and problem-solve around adherence to the program's behavioral targets.",yes,1,,
4647,Samuel-Hodge,strat_53,53,Intervene with patients/consumers to enhance uptake and adherence,1,Follow-up calls 1–3 (optional 4th call) Check-in on goal progress (successes and challenges related to the topic(s) covered) Check-in on referrals (actions taken or barriers to following through or receiving services) Reminder or scheduling of next counseling session,"The study used follow-up calls to check on participants' progress, problem-solve challenges, and discuss barriers, which directly fits the definition of intervening with patients to enhance uptake and adherence.",yes,1,,
3974,Shareef,strat_53,53,Intervene with patients/consumers to enhance uptake and adherence,1,"Call patient to provide reminders, identify barriers, and solutions for scheduling","The patient navigator directly intervenes with patients by calling them to provide reminders and problem-solve barriers to scheduling a follow-up colonoscopy, which aligns with the definition of enhancing patient uptake and adherence.",yes,1,,
4545,TangkaFKL,strat_53,53,Intervene with patients/consumers to enhance uptake and adherence,1,"The navigation program included text message reminders, reminder calls, and motivational interviewing, but the timeline and number of reminder texts and calls differed by year (Table 1).","The text describes a patient navigation program that used text message reminders, reminder calls, and motivational interviewing to encourage patients to return their colorectal cancer screening kits, which directly aligns with the definition of intervening with patients to enhance uptake and adherence.",yes,1,,
4684,Thakur,strat_53,53,Intervene with patients/consumers to enhance uptake and adherence,1,"Follow-up visits were scheduled according to the patient’s HbA1c levels. For patients with HbA1c levels greater than 9%, follow-up visits were recommended every 2 weeks. In contrast, patients with HbA1c levels between 6% and 8% (relatively stable glucose control) were scheduled for follow-up every 3 months.","This describes a structured system of follow-up visits, tailored to patient need, to review data and manage the intervention, which is a strategy to encourage and problem-solve around adherence.",yes,1,,
3934,Venishetty,strat_53,53,Intervene with patients/consumers to enhance uptake and adherence,1,The project navigator called all participants one and two weeks after the packets were sent to remind them to return their FIT kits and forms.,The use of reminder phone calls by a project navigator to prompt participants to return their FIT kits is a direct intervention with patients to encourage adherence to the screening protocol.,yes,1,,
4068,Yan,strat_53,53,Intervene with patients/consumers to enhance uptake and adherence,1,"In addition, 18 mentioned liking logistic functions of the SMS text messaging program, such as the texts acting as reminders and the quiz functions. For example, participants shared that the texts helped with “remembering that [they] need to take care of [themselves]” and that “it was just a nice little reminder a few times a week.”","The study implemented a text messaging intervention that sent reminders to patients to encourage adherence to diabetes self-management, which directly aligns with the definition of intervening with patients to enhance uptake and adherence.",yes,1,,
4202,Coronado,strat_54,54,Involve patients/consumers and family members,1,"We used boot camp translation (BCT; ref. 27), a validated community engagement process, to develop the content and select the format of advance notiﬁcations and reminders for the enhanced program.","The study involved patients through a community engagement process called boot camp translation to develop and refine the content and format of the intervention materials, directly fitting the definition of engaging consumers in the implementation effort.",yes,1,,
4519,EspinozaSalomon,strat_54,54,Involve patients/consumers and family members,1,"For parents who work or are otherwise unable to attend themselves, other family members (typically grandparents or adult siblings) may participate in their place.","This statement describes a deliberate adaptation to include and engage other family members in the implementation effort to ensure the family unit can participate, which is the core of this strategy.",yes,1,,
3994,Ghosh,strat_54,54,Involve patients/consumers and family members,1,The operations team wanted to collect patient satisfaction data on the evening/weekend CCS clinics to improve clinics in the future.,The project team collected patient satisfaction data via surveys specifically to get feedback from patients to improve the implementation of future cervical cancer screening clinics.,yes,1,,
4701,Katz,strat_54,54,Involve patients/consumers and family members,1,"The pilot study followed the development of the program by extensive input from Appalachian community members and healthcare providers practicing in Appalachia Ohio that occurred prior to the start of the COVID-19 pandemic. Three focus groups and five interviews were conducted with 19 community members and four groups with 18 healthcare providers (physicians, nurse practitioners). Discussions centered on barriers and facilitators for CRC screening and the content and format for the proposed intervention materials.","The intervention materials were developed based on extensive input from community members through focus groups and interviews, directly involving them in the design of the implementation effort.",yes,1,,
4068,Yan,strat_54,54,Involve patients/consumers and family members,1,"When asked what aspects they would change about the SMS text messaging program, 29 of 43 (67%) patients reported that they would change nothing, 6 (14%) wanted more information or content, 5 (12%) wanted the ability to respond to more SMS text messages, and 3 (7%) wanted to change the timing of the messages.","The study collected feedback from patients via free-text questions about their experience with the text messaging program and what they would change, which constitutes involving patients in the evaluation of the implementation effort.",yes,1,,
4052,Gautom,strat_55,55,Prepare patients/consumers to be active participants,1,"Patient navigators assisted patients with a myriad of services including CRC screening education, barrier assessment, addressing barriers to completing a colonoscopy, language translation, appointment reminders and scheduling, acting as a liaison with the gastroenterology facility, bowel prep education assistance, and transportation and companion assistance.",The patient navigation program provided CRC screening and bowel prep education to prepare patients with the knowledge needed to actively participate in their follow-up care.,yes,1,,
4746,Llavona-Ortiz,strat_55,55,Prepare patients/consumers to be active participants,1,"Upon completing the TIMI, participants received a printed provider prompt indicating their intent regarding CRCS: (1) “I will definitely get screened to prevent CRC”, (2) “I am thinking about getting screened for CRC”, or (3) “I am not interested in getting screened for CRC.”).","The intervention used a provider prompt to help patients articulate their screening intentions and facilitate a discussion with their doctor, thereby preparing them to be active participants in their care.",yes,1,"note this is about future care, but i believe still applies based on the definition in the codebook",
4036,McAtee,strat_55,55,Prepare patients/consumers to be active participants,1,"The final HRA captured baseline and follow-up chronic disease behaviors, patient knowledge and attitudes, and chronic disease self-management.","The program used a Health Risk Assessment to explicitly measure and address patient knowledge, attitudes, and self-management skills, with the goal of increasing their confidence and ability to manage their own chronic conditions, which prepares them to be active participants in their care.",yes,1,"note this is about future care, but i believe still applies based on the definition in the codebook",
3987,Nuno,strat_55,55,Prepare patients/consumers to be active participants,1,"The 13-week calendar presented topics in the following order: (W1) introduction to MSD; (W2) living a healthy life with T2D; (W3) are you at risk of developing CVD?; (W4) maintaining a healthy weight; (W5) beneﬁts of physical activity; (W6) glucose and sugar; (W7) everything you need to know about high blood pressure, salt, and sodium; (W8) control your cholesterol, eat less fat; (W9) is our community healthy?; (W10) enjoy life with emotional well-being; (W11) effective management of T2D is a shared responsibility; (W12) enjoy healthy meals with friends and family, meal demonstration; and (W13) review/graduation.","The intervention curriculum included a specific session on 'effective management of T2D is a shared responsibility,' which directly prepares patients to be active participants in their own care.",yes,1,,
4545,TangkaFKL,strat_55,55,Prepare patients/consumers to be active participants,1,"AltaMed provided informational brochures to educate patients on all available screening options, and patients could choose a CRC screening test, for example FIT or FIT‐DNA, based on their preference during their discussion with providers.","The program provided informational brochures on all screening options and allowed patients to choose their preferred screening test in discussion with their provider, which prepares patients to be active participants in their care decisions.",yes,1,,
4890,Ung,strat_55,55,Prepare patients/consumers to be active participants,1,Education on the purpose of this screening test was provided during counseling by both members of the medical care team and research staff.,"This quote describes a deliberate educational effort to prepare patients to actively participate in the screening by understanding its purpose, which aligns with the strategy of preparing patients to be active participants in their care.",yes,1,,
4258,Mehta,strat_56,56,Use mass media,1,Patients in the colonoscopy-only arm were mailed a letter describing the importance of colorectal cancer screening and encouraging them to get screened via colonoscopy using the colonoscopy referral included with the letter.,"The study used mailed letters to a large number of eligible patients to spread the word about colorectal cancer screening options, which fits the definition of using mass media like mass mailings.",yes,1,"I was iffy since the letter went to the study participants, but I do agree this is a mass mailing approach to patients",
4545,TangkaFKL,strat_56,56,Use mass media,1,AltaMed also used mass mailers with FIT kits to reach patients before 2021 and continued this practice with the patient navigation program.,"The FQHC used mass mailers with FIT kits to reach a large number of patients and encourage screening, which is a form of mass media explicitly mentioned in the strategy definition.",yes,1,,
4068,Yan,strat_56,56,Use mass media,1,"The research team sent messages through the Midwest Clinicians’ Network (MWCN) listserv, set up a webinar through the MWCN, advertised in the quarterly MWCN e-newsletter, and mailed a letter and brochures about the study to the directors of all MWCN member health centers.","The study used mass media channels, specifically a listserv, e-newsletter, and mass mailings, to recruit a large number of health centers to participate in the implementation of the intervention.",yes,1,,
5032,Burgermaster,strat_57,57,Access new funding,1,Agency for Healthcare Research and Quality R21HS027660.,"The study was supported by a grant from the Agency for Healthcare Research and Quality, which represents accessing new funding to facilitate the implementation and evaluation of the intervention.",Not clear. This funding was likely received prior to this study not within the contect of the study,0,"this was KD's note -- I agree; if we say ""yes"" here, likely every project will be ""yes"" because they had funding prior to the study; believe the definition here is if they had to get more/new funding as a strategy to supplement their efforts for implementation",
4025,Champion,strat_57,57,Access new funding,1,"Utilizing the 340B program, the team protocolized ADA Guidelines to promote the early adoption of first-line medications, glucagon-like peptide1 receptor agonists (GLP1 RAs) and sodium-glucose cotransporter 2 inhibitors (SGLT2is) to improve patient outcomes.","The text shows the FQHC utilized the 340B program, an existing financial mechanism, to fund the implementation of new guideline-recommended medications by making them affordable for the clinic.",Correct,1,KD's decision -- AES agrees,
4202,Coronado,strat_57,57,Access new funding,1,This research was funded by a grant from the National Institutes of Minority Health and Health Disparities (U01 MD010665).,"The study was supported by a grant from the NIH, which represents accessing new money to facilitate the implementation and evaluation of the mailed FIT outreach program.",no ,0,based on prior rationale -- likely obtained this prior to study,
3936,Farley,strat_57,57,Access new funding,1,"This project was funded in part under grant number R18 HS027754-01A1 from the Agency for Healthcare Research and Quality (AHRQ), US Department of Health and Human Services (HHS).","The study, which evaluated the implementation of a pharmacist-led SDoH screening and referral process, was explicitly supported by a federal grant, which constitutes accessing new funding to facilitate the implementation.",no,0,based on prior rationale -- likely obtained this prior to study,
4052,Gautom,strat_57,57,Access new funding,1,Research reported in this publication was supported by the National Cancer Institute of the National Institutes of Health under Award Number R01CA218923 given to Kaiser Foundation Research Institute.,"The text explicitly states that the research, which involved implementing and evaluating the patient navigation program, was supported by a grant from the National Cancer Institute, which constitutes accessing new funding to facilitate the implementation.",no,0,based on prior rationale -- likely obtained this prior to study,
3994,Ghosh,strat_57,57,Access new funding,1,"All funding was internal from the EBNHC Adult Medicine, Family Medicine, and Women’s Health Departments.","The project was supported by dedicated internal funding from multiple departments, which represents a new use of existing money specifically to facilitate the implementation activities like chart reviews and extra clinics.",no,0,based on prior rationale -- likely obtained this prior to study,
4617,Hammarlund,strat_57,57,Access new funding,1,This work was fully supported by The Leona M. and Harry B. Helmsley Charitable Trust (Grant Award Number: AWD06490; Reference: 2005-03934).,"The paper explicitly states that the work, which includes the Project ECHO Diabetes program, was fully supported by a grant from a charitable trust, which is a direct example of accessing new funding to facilitate implementation.",no,0,based on prior rationale -- likely obtained this prior to study,
4727,Jelalian,strat_57,57,Access new funding,1,This study was supported by the Centers for Disease Control and Prevention (CDC; Award No. U18 DP006429 to E.J.).,"The study explicitly states it was supported by a grant from the CDC, which represents accessing new funding to facilitate the implementation of the JOIN for ME program.",no,0,based on prior rationale -- likely obtained this prior to study,
4701,Katz,strat_57,57,Access new funding,1,"This study was supported by research grants from the National Institutes of Health including the National Institute on Aging (R21AG061496) and the National Cancer Institute (P30CA016058) the Recruitment, Intervention and Survey Shared Resource at The Ohio State University Comprehensive Cancer Center.","The study explicitly states it was supported by research grants, which constitutes accessing new funding to facilitate the implementation of the mailed FIT outreach program.",no,0,based on prior rationale -- likely obtained this prior to study,
3528,Kim,strat_57,57,Access new funding,1,"This study was funded by a gift grant from an anonymous, private donor who had no role in the study design or analysis.","The text explicitly states that the study was funded by a gift grant from a private donor, which is a form of accessing new funding to support the implementation pilot.",no,0,based on prior rationale -- likely obtained this prior to study,
3971,Kruse,strat_57,57,Access new funding,1,"This publication was made possible with help from the Implementation Science Center for Cancer Control Equity, a National Cancer Institute funded program (P50 CA244433), and the American Cancer Society (CRP-22–080-01-CTPS).","The study was supported by grants from the National Cancer Institute and the American Cancer Society, which constitutes accessing new funding to facilitate the implementation of the bundled screening intervention.",no,0,based on prior rationale -- likely obtained this prior to study,
4036,McAtee,strat_57,57,Access new funding,1,"The evaluation of this program was supported by Cooperative Agreement number NU58DP006618-05-00,funded by the Centers for DiseaseControl and Prevention.","The text explicitly states that the program was funded by a cooperative agreement from the CDC, which represents accessing new grant money to facilitate the implementation and evaluation of the CCHW expansion program.",no,0,based on prior rationale -- likely obtained this prior to study,
4258,Mehta,strat_57,57,Access new funding,1,"This trial was funded by a Young Investigator Award from the National Comprehensive Cancer Network Foundation. Any opinions, ﬁndings, and conclusions expressed in this material are those of the author(s) and do not necessarily reﬂect those of the National Comprehensive Cancer Network or the National Comprehensive Cancer Network Foundation. Also supported by the National Cancer Institute of the National Institutes of Health grant K08CA234326 (S.J.M.).","The study explicitly states it was funded by grants from the National Comprehensive Cancer Network Foundation and the National Cancer Institute, which is a direct example of accessing new funding to facilitate the implementation trial.",no,0,based on prior rationale -- likely obtained this prior to study,
4520,Radtke,strat_57,57,Access new funding,1,"This project was funded by the Medi-Cal Capacity Grant Program, Partners for Healthy Food Access.","The text explicitly states that the project was funded by a grant program, which is a direct example of accessing new funding to facilitate the implementation of the intervention.",no,0,based on prior rationale -- likely obtained this prior to study,
4647,Samuel-Hodge,strat_57,57,Access new funding,1,"Sites were reimbursed for their roles in recruitment of participants and program delivery. Reimbursements include $5,000 for staﬀtraining time and use of oﬃce space for program delivery, and $75 for each hour of counseling (estimated at 6 h total (4 session + 3 calls) per participant).","The study provided reimbursement to participating sites to cover the costs of staff training, use of space, and counseling time, which constitutes accessing new money to facilitate the implementation of the Med-South program.",yes ,1,this one is different b/c the funding was new to the sites during the project as part of the implementation strategy,
4545,TangkaFKL,strat_57,57,Access new funding,1,AltaMed is a large FQHC in the United States and an award recipient of the CRCCP.,"The text states that the implementing organization, AltaMed, was an award recipient of the Colorectal Cancer Control Program (CRCCP), indicating they accessed new funding through a grant to support the program.",no,0,,
4684,Thakur,strat_57,57,Access new funding,1,The CUHCC used Libre Pro CGM sensors donated by the funder to patients who were uninsured or those with unaffordable copays.,"The text explicitly states that donated CGM sensors were used to provide the technology to uninsured patients, which fits the definition of accessing new resources to facilitate implementation.",No,0,LHC - sensor was donated by the company but not new funding. It appears they used funding that was likely obtained previously that support this project and others.,
4068,Yan,strat_57,57,Access new funding,1,Clinics engaged in the study received a stipend for their participation and could use the funds to offset any costs.,"The study provided a stipend to participating clinics to offset implementation costs, which is a direct example of accessing new money to facilitate implementation.",No,0,LHC - i agree they received new funding but not the ratoinale and example text provide by AI,
4025,Champion,strat_59,59,Alter patient/consumer fees,1,"Through the 340B program, FQHCs can improve patient access by allowing them to offer low-cost medications.","The text describes using the 340B program to offer low-cost medications, which alters the fee patients pay for the preferred treatments and thereby improves access and adoption.",Correct,1,,
4519,EspinozaSalomon,strat_59,59,Alter patient/consumer fees,1,The program is offered at no cost to families.,"The text states the program was offered at no cost, which is a fee structure alteration designed to remove financial barriers and encourage participation in the clinical innovation.",Correct,1,,
4520,Radtke,strat_59,59,Alter patient/consumer fees,1,Patients were prescribed a weekly food voucher to be redeemed at the Merced County Food Bank.,"The intervention provided patients with food vouchers, which is a fee structure alteration that allows them to acquire the preferred treatment (healthy food) at no cost, fitting the strategy of making patients pay less for the clinical innovation.",Correct,1,,
4684,Thakur,strat_59,59,Alter patient/consumer fees,1,The CUHCC used Libre Pro CGM sensors donated by the funder to patients who were uninsured or those with unaffordable copays.,"The program altered patient fees by providing the CGM devices for free to uninsured patients or those with high copays, thereby reducing the cost to zero to encourage adoption and use.",Correct,1,,
4503,McCann,strat_60,60,Develop disincentives,1,"It also included emphasizing the beneﬁts of improvement, including optimal care and maintaining federal funding.",The project leaders deliberately motivated staff to adopt the new workflow by emphasizing the financial disincentive of losing federal funding if quality measures were not improved.,no,0,LHC - not directly to the project itself. It is just outcome overall if the quality measures are not improved that is set upon gov agency ,
4545,TangkaFKL,strat_61,61,Fund and contract for clinial innovation,1,The Colorectal Cancer Control Program (CRCCP) was initiated by the Centers for Disease Control and Prevention in 2009. Its purpose is to improve CRC screening among individuals aged 45–75 years through the provision and promotion of screening services.,"This quote describes a government entity, the CDC, initiating a program to fund and contract with providers to deliver a clinical innovation (CRC screening), which directly aligns with the strategy's definition.",No ,0,LHC - there was no funding structure to help develir the intervention based on the definition.,
3994,Ghosh,strat_62,62,Make billing easier,1,A smart phrase for a CCS-­only EMR note was also created for those providers who wanted to use it.,"The creation of a smart phrase for the EMR note serves as a template to streamline and standardize documentation, which makes the process, including billing, easier for providers.",No,0,LHC - do not see a statement that it made it easier for billing ,
4647,Samuel-Hodge,strat_65,65,Use other payment schemes,1,"Reimbursements include $5,000 for staﬀtraining time and use of oﬃce space for program delivery, and $75 for each hour of counseling (estimated at 6 h total (4 session + 3 calls) per participant).","The study introduced a specific payment approach, combining a lump sum for site training and setup with a per-hour reimbursement for counseling, to fund the delivery of the innovation outside of traditional billing systems.",Correct,1,,
4247,Coronado,strat_69,69,Change record systems,1,the timing and outcomes of the live call advance notiﬁcations were recorded by health education staff using an Excel tracking form.,"A new record system, an Excel tracking form, was created to allow for the assessment of the implementation of the live phone call notifications.",Unsure,0,LHC - the tracking is for measuring the effectiveness of the study but not a long term improvement of record tracking,
3936,Farley,strat_69,69,Change record systems,1,SDoH needs were categorized and documented within the Medication Therapy Problem Documentation Tool developed by Optimizing Medications for Better Health.,The project team changed their record system by incorporating SDoH categorization and documentation into an existing medication therapy problem tool to allow for assessment of the new screening process.,correct,1,,
3994,Ghosh,strat_69,69,Change record systems,1,A smart phrase for a CCS-­only EMR note was also created for those providers who wanted to use it.,The creation of a smart phrase for the electronic medical record note is a direct change to the record system to allow for better assessment and documentation of the innovation.,correct,1,,
4069,Glasser,strat_69,69,Change record systems,1,"CRC screening registries were developed based on CQM requirements (active patients, men and women, ages 50–75).","The text states that screening registries were developed to identify eligible patients, which constitutes a change to the record system to allow for better assessment of clinical outcomes.",correct ,1,,
3528,Kim,strat_69,69,Change record systems,1,"In addition, weekly summaries of each participant’s data were produced as pdfs were uploaded to the electronic health record (EHR; ►Fig. 3)",This describes changing the record system by uploading weekly summaries of remote patient monitoring data into the EHR to allow for better assessment of clinical outcomes by the care team.,correct,1,,
4503,McCann,strat_69,69,Change record systems,1,"Interventions consisted of (1) auditing and reconciling charts from Epic’s generated reports, (2) modifying the frequency of or discontinuing Pap smears, (3) updating surgical history to reﬂect hysterectomy type, and (4) sending scheduling outreach messages.","The project implemented a new workflow for auditing and reconciling patient charts within the EHR to ensure external data was captured in structured fields, thereby changing the record system's use to allow for better assessment of clinical outcomes.",correct,1,,
4647,Samuel-Hodge,strat_69,69,Change record systems,1,Counselors enter intervention delivery data into REDCapb (a data capture and management system),"The study implemented REDCap, an electronic data capture system, for counselors to enter intervention delivery data, which directly aligns with changing record systems to better assess implementation outcomes.",unsure,0,LHC - this tracking measurement for effectivensss of the study but not necessary longer term improvement of record tracking,
4202,Coronado,strat_70,70,Change service sites,1,Participants in the standard condition were mailed a FIT and received live telephone reminders to return it.,"The study describes a mailed fecal immunochemical test (FIT) outreach program, which changes the location of the clinical service from the clinic to the patient's home to increase access to screening.",no,0,lhc - based on previous coding,
4247,Coronado,strat_70,70,Change service sites,1,"Patients identiﬁed in clinics during the pre-intervention time points (standard mailed FIT program; usual care) were mailed a FIT and, starting six weeks later, were delivered a live reminder call (up to three attempts were made to reach patients) by clinic staff on care teams, as time allowed.","The core intervention involves mailing a FIT kit to patients, which changes the location of the clinical service from the clinic to the patient's home to increase access.",no,0,lhc - base ,
4052,Gautom,strat_70,70,Change service sites,1,The navigation program was a six topic-area telephonic program designed to support patients with an abnormal fecal test result to obtain a follow-up colonoscopy.,"The program delivered patient navigation services via telephone, which changes the site of service delivery from a physical clinic to a remote setting to increase patient access.",correct,1,,
4617,Hammarlund,strat_70,70,Change service sites,1,"Project ECHO Diabetes addresses this issue by using a ""hub-and-spoke"" model to deliver tele-education, empowering primary care providers to manage diabetes care effectively in these settings.","This quote describes using a tele-education model to change the location of specialty diabetes care knowledge from a central hub to distributed primary care sites, thereby increasing access for providers and their patients.",correct,1,,
4674,HudakKMA,strat_70,70,Change service sites,1,"Boxes could be home-delivered (by food bank staff) or kept on-site at the food bank for patient pick-up, based on patient needs. Most patients chose to have food boxes delivered to their homes.","The program changed the location of service delivery by offering home delivery of grocery boxes, which increased patient access by mitigating transportation barriers.",correct,1,,
4701,Katz,strat_70,70,Change service sites,1,"FIT can be completed at home and returned by mail, making mailed FIT outreach programs a promising way to reach people and increase CRC screening in rural geographic regions like Appalachia (e.g., mostly rural with lower access to healthcare, lack of public transportation8–10).","The study implements a mailed FIT outreach program, which changes the site of the screening service from the clinic to the patient's home to increase access for a rural population.",no,0,lhc - based on previous coding,
3528,Kim,strat_70,70,Change service sites,1,"The intervention consisted of connected blood glucose and blood pressure monitors, a data-enabled tablet, virtual health coaching sessions twice per month, and virtual or in-person provider visits as needed.","This intervention changed the site of clinical service by using remote patient monitoring and virtual coaching to deliver care in patients' homes, thereby increasing access.",correct,1,,
4258,Mehta,strat_70,70,Change service sites,1,Patients in the FIT-only arm were mailed a letter describing the importance of colorectal cancer screening and encouraging them to get screened using the enclosed FIT kit.,"The study mailed fecal immunochemical test (FIT) kits directly to patients' homes, which constitutes bringing the clinical service to the client's home to increase access to screening.",no ,0,lhc - based on previous coding,
4520,Radtke,strat_70,70,Change service sites,1,Patients were prescribed a weekly food voucher to be redeemed at the Merced County Food Bank.,This intervention changed the location of a key clinical service (nutritional support) from the clinic to a community food bank to increase patient access to healthy food.,correct,1,,
4647,Samuel-Hodge,strat_70,70,Change service sites,1,"Counseling visits were delivered as individual in-person sessions (sessions 1 and 4) and via phone or virtual format (e.g., Zoom) for sessions 2 and 3.","The program changed the location of service delivery by using phone or virtual formats for some counseling sessions, which increases access for participants and fits the definition of changing service sites.",correct,1,,
4545,TangkaFKL,strat_70,70,Change service sites,1,AltaMed also used mass mailers with FIT kits to reach patients before 2021 and continued this practice with the patient navigation program.,"The strategy of mailing FIT kits directly to patients' homes changes the location of the service from the clinic to the patient's home, which aligns with the definition of changing service sites to increase access.",no,0,lhc - based on previous coding ,
3934,Venishetty,strat_70,70,Change service sites,1,"This paper describes the impact of an additional navigation activity, such as using introductory calls before sending mailed in-home FIT kits, on CRC screening completion in two federally qualified health centers (FQHCs) in a U.S.–Mexico border county.","The program implemented mailed in-home FIT kits, which changes the site of the screening service from the clinic to the patient's home to increase access by overcoming barriers like transportation.",no,0,lhc - based on previous coding ,
4068,Yan,strat_70,70,Change service sites,1,"Due to the COVID-19 pandemic, the 2020 cohort had video-based GVs.","The study adapted the group visit intervention from an in-person format to a video-based online format, which constitutes changing the service site to a virtual location to maintain patient access.",correct,1,,
5032,Burgermaster,strat_71,71,Create or change credentialing and/or licensing standards,1,"Providers who completed the study, including the training module (either as part of the intervention or after completion of the control arm), received a certiﬁcate that allowed them to claim continuing medical education credit.","The study leveraged continuing medical education credits as an incentive for providers to complete training, which aligns with altering continuing education to shape professional practice toward the innovation.",Probably no.  Needed to create a new system and change prior one,0,,
3994,Ghosh,strat_72,72,Mandate change,1,"The importance of the problem, magnitude of the deficit, and goals of the QI project were presented to all staff during quarterly staff meetings by the Chief Medical Officer.","The Chief Medical Officer, a key leadership figure, declared the priority and goals of the quality improvement project to all staff, which constitutes a mandate for change.",Correct,1,,
4684,Thakur,strat_72,72,Mandate change,1,"The chief executive officer and the chief innovation & strategy officer, both of whom are advocates for digital technology to address health equity, were an integral part of this collaborative effort.","The active advocacy and integral involvement of top leadership (CEO and Chief Innovation & Strategy Officer) in the project demonstrates a clear declaration of the innovation's priority, aligning with the organization's digital strategy.",Correct,1,,
4647,Samuel-Hodge,strat_73,73,Start a dissemination organization,1,"As a ﬁrst step in planning for regional scale-up, our project has created a website housed on the PRC’s website to disseminate Med-South materials and online training modules.","The research team is using their Prevention Research Center (PRC) as an organization to begin disseminating Med-South materials and training, which aligns with identifying an organization responsible for dissemination.",correct,1,,
,,,,,,,,,0.6543209877,,
